mz_rt_min,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58
69.03428_1.187,0.013872539215891,-0.0221051012305218,-0.00604360125279472,-0.0231199570525544,0.0350786841859026,-0.0157868039157285,0.00445512496813294,-0.0250345523553543,-0.0250931886429465,-0.0335462537302701,0.0263023712224984,-0.0338769887845478,0.0237742721840769,0.00709316356802834,-0.0691059248516335,-0.0212066332154071,0.0046791901555056,-0.0215245096650116,0.060179692222729,0.0159088270385576,0.0380335383487129,0.0110386885138553,-0.0271937746654684,0.0323911091847581,-0.0296869957975892,0.0239232734905455,0.0213259432677206,0.0237297255979989,-0.0397711501240055,-0.0306093125027239,-0.0141123463057077,-0.127217622147642,0.000315419554198602,0.0432741953198135,0.0138242080338959,0.00886819905426126,0.0142685972794611,-0.01601710108823,-0.0536951838263458,-0.00968931477192045,0.0456390468092071,-0.0169085018698051,0.0237733698268549,-0.0275386185480352,0.0418146276096569,0.0162756506166519,0.0265278339927582,0.0108685916280727,-0.0462663354400185,-0.00224322870336255,-0.0518823612321856,0.0317500515550113,-0.0306465908698168,-0.0275950503595954,-0.0894629824322201,-0.0172475375682362,0.00440680957747877,0.0606446532787445
69.07071_1.616,-0.00248495799865957,-0.00684471903783401,0.0449426132411098,0.0160114803665099,-0.0334592697516544,0.0639469120938607,-0.0254482637732027,-0.00790694261971546,-0.0306489923291626,0.00538459828709161,-0.0364543486455904,-0.0332648282506569,0.0108224733471255,-0.0169375916742424,-0.0189250538207614,0.0276832807889098,-0.0578913296368315,-0.0216579016336067,-0.00353792382502083,-0.0290722703408846,0.0116089758220852,0.0405428690903069,0.0115015111654759,0.0234267665830417,0.00964214520420159,0.0118655891875369,0.0452657513028208,-0.0120245943656697,-0.0192216503612015,0.0487348343115703,-0.0544143311626899,-0.0128328838090764,-0.00966400928496501,-0.0344305623729127,0.0309344531740751,-0.00454451920112198,0.00878144716854361,-0.00332893337589209,-0.0824444095144084,-0.0211734371439081,-0.024559256659026,-0.0195764697511474,-0.0846070116350127,0.00155299218833445,0.0234834177245067,0.0328840123368959,0.0574962227023997,0.085835709949141,0.0288792310504293,0.0271620640449474,-0.0152628836689996,-0.00213713212648782,0.0198952657756652,0.0144254878516896,0.0157731275579114,0.0330767075432609,-0.016148262001779,-0.031784296419602
69.98368_0.805,-0.0407248931086991,0.00687704464331777,-0.000277326901072968,0.00653083738731139,-0.00659622024426037,-0.0472304270758669,0.00181170267902005,0.0218148960964279,-0.0203329085928816,0.0366337238780055,0.0069045371861027,0.034620069987735,0.00233301276347094,-0.0145079981599395,0.00650072235472868,-0.00622186617644935,0.00158487525113097,-0.000418383810406904,-0.00135036716281436,-0.0034506429128862,0.0141749447470512,-0.011084563940642,0.00457993264405882,-0.00639601158476409,0.0186842668213315,-0.0148752867832907,0.02177607092329,0.0019095019154507,0.00437991189045269,0.0291862886248483,0.0228189905432822,0.00356611253531099,-0.0139481570040251,0.017831034500561,-0.000244127945272178,0.0256393071591541,-0.0121659047500915,-0.032037485810216,0.00559216285801443,0.0166667328316453,-0.00437436122176673,-0.0148959437434657,-0.0196115639098546,0.00596814635154673,-0.0114965749446236,-0.0208799924879271,0.0130721263653455,-0.0148033138841739,-0.0112604981494583,-0.00212436068085262,-0.00955833872708619,-0.0264170923066473,0.0113929490750051,-0.0112617870778112,0.0158362367841264,0.00336377541668947,-0.00449850666620531,0.04181158728759
70.02953_1.06,0.0165442102967073,-0.0369166040056462,0.00139791931449475,0.0247683126758039,0.0129847718222084,0.00149897204383575,-0.0502628045815504,-0.00718351883547626,0.0226329668403955,-0.0293539848424774,-0.0402612080492176,-0.025886400531158,0.0583724838747514,-0.0220993328133642,0.0236731135683565,0.0178239431519592,0.0470953004317815,-0.00404643059894372,-0.0066530202034096,0.0130054387124581,0.0214829425094605,0.0439269109211815,-0.0255113180797623,-0.0160570716548247,-0.0444182745460455,0.0233904811493237,0.00720235263249176,-0.0097777241497231,-0.00840190459549396,0.0190175343697193,0.0215000477505277,0.0112879756932201,0.00188228982716261,0.00896071389980077,-0.0271089442297032,-0.021267642858406,0.000456696902809652,-0.015611327698645,-0.0153093235714835,0.00159821506775018,-0.0572302685464225,-0.0396417684976148,-0.0278830225053122,-0.0636101883141911,-0.030149844609036,-0.0115880424295195,-0.0242516692292431,0.00973762839488154,-0.0161515233247546,0.00337599313766127,-0.0117197640735655,0.0322532216369235,0.00196643207555341,0.0251256177943848,0.0636821576250813,0.0288031910732438,0.028746650167937,-0.00822114720202612
70.06583_1.066,0.031146585091154,-0.0144670615751969,0.0514761724667056,0.021076358916689,-0.0286195220790861,0.0147487406951671,-0.0386205602387046,-0.0237004004928179,0.0122327952291201,-0.0139396869151722,0.0237609575854112,0.00595209844354072,-0.0100053303117376,-0.000711073609099432,0.019018977351678,-0.0161829755405137,-0.0183769178100206,0.0228299660706624,-0.00373445309983979,-0.0120475785399987,-0.0149231000052925,-0.0202721828782009,0.00869387898786142,-0.00240315665584125,-0.00639653154875189,0.0178560176696614,-0.00972492630086673,-0.0277026492885235,0.00538819794356884,0.00585654260704161,-0.0311632455904044,-0.0299148503462714,0.0268226299558139,0.00133284756506208,-0.0047243513187919,-0.026269474980554,-0.0079688838636055,-0.0019946811712178,-0.0207149124039076,-0.00629172156750021,0.00793276782446902,0.0215482028894907,-0.0299067024127853,-0.0238203025309116,0.00693331451493029,-0.0142024699221292,-0.00756105405779402,-0.0203790649109949,-0.0259882743054676,-0.00406552766451624,-0.00622973536336014,-0.000479432265659674,-0.00193676122455876,0.0444562455685743,0.00678515893827659,0.00804666896509435,-0.0122587709969574,-0.0171954788234106
70.06594_0.877,-0.0424958639775251,0.0023456393967111,0.014667687014415,0.023207673814077,-0.000892755077687248,-0.00348138313032936,-0.0113516426667576,0.0539299894895112,0.0269521195514661,-0.00773386479010692,-0.000614037493546187,0.00271753372688398,-0.0132489833669161,-0.0115895131787963,0.0028026038243141,-0.0184675985365306,0.00759736658644181,-0.00410782054051364,0.0137710821326831,0.00506314766129165,-0.0259272075645031,0.00126375557976022,0.0132172676791489,0.013940763125758,-0.00900067234706633,0.0170927257238622,-0.00887099499496482,-0.00696118865421084,-0.00386532302635673,0.00406065621071663,0.00777870485222958,-0.0134114716300741,-0.00351056718021979,-0.00812134250947839,-0.00321117191362855,-0.000116747485158389,-0.00195370725309553,0.00758166582238176,0.0056498302636948,-0.00659270086161102,-0.0063299990123465,0.0029015415121619,0.000692664606335235,-0.00862478322010105,-0.00819883349887925,0.00240514922665124,-0.00107156271260561,0.0116618614627242,-0.0110504739166884,0.00341153311969572,-0.00343715985084322,-0.00489397240754516,-0.00556682686169127,-0.00640707721865391,0.00611253481305043,0.0106213757485345,-0.0130472370676155,-0.0135048689571515
70.06594_1.144,-0.0220418176132855,-0.0301551015076686,0.037333576905222,0.0364216383672736,-0.0415217438803561,0.0123903431583094,0.0173431978621954,-0.00295154272013465,-0.0442102795257599,0.00814626017712465,-0.0369289361986224,0.000535035506124738,-0.00331576794316242,-0.0040578225479994,-0.0383930559983413,-0.026155856625099,-0.0372387380126946,0.00520410890058929,0.0195005799404927,0.0431029600393703,0.0194506863380243,0.0330402173261019,-0.0216515640896132,-0.00911516910715714,-0.0100682027256015,-0.00684285759229704,0.0320376539427043,-0.0348754074640741,0.00275583532654469,-0.00925441194530826,0.00124367548486637,0.000113212213636463,-0.0111502727880522,0.024479742287499,-0.0148767573875051,-0.00300047073494386,0.0282190466436341,0.0195883559612603,-0.00257529728526069,-0.01794004220536,0.0277439201313373,-0.0132273370062347,0.00205988866282195,0.0189842709028665,0.0239064768993179,0.0277687212379716,0.000477727969834379,-0.0118119992822245,-0.0363518156252224,0.00607199676365416,-0.0143567557038214,-0.0286929842527311,0.00733614360761302,-0.0101849406920291,0.0022176222314007,-0.00933263166762886,0.0102704657168913,-0.0308944171508396
70.06594_1.288,-0.0127226426631682,0.00167748554086543,0.0256203228092126,0.0111665884874129,-0.0506369695943125,0.029556695085927,-0.0370061755806462,-0.0253728937663548,-0.0517443418494615,0.0237256823242843,-0.0410487635362873,0.0218158601156752,0.0298426773074125,-0.00895125676775803,-0.0252779161606903,-0.0288737614975198,-0.0100213710775072,0.00610754882182624,-0.0184252943813243,-0.011397789022403,-0.0237770893381336,0.0382801927868279,-0.0113212810221088,0.0482400096273864,0.0265486322954048,-0.0221190214371275,0.0323838587278181,-0.037202601399253,-0.012766741726385,-0.0551133275275498,-0.061403243424549,0.0155278883870097,0.0270138549815596,-0.00254040539747787,0.0579114394192712,0.00732277641995323,-0.000712673085050854,-0.0299847055298597,0.0306149514932394,0.0256068881084979,-0.0491105056291929,-0.0543546123194772,-0.0100656196976979,0.0526309642945612,0.0313588780606579,-0.0160938032901474,0.0786039893134333,-0.0479980122273094,0.0339726361564313,-0.0380799472376026,-0.0195171245283053,-0.0406412040180555,0.0234358960471311,-0.0558836294585796,-0.0106484946246157,-0.0666994554839593,-0.0374533725850315,-0.0179261386257997
70.99855_0.8,-0.0368375064880156,0.00230523389069166,0.00619736392196645,0.0135597846646007,-0.0208329656097601,-0.043493832879152,-0.00614993600425194,0.043817095848595,-0.0351929644630331,0.0582910432569896,0.0124956018947486,0.0288832107973206,-0.00149310679920699,-0.018924598514568,-0.000245482572335868,0.0023950955130677,-0.00237472845085149,-0.00266837092648402,0.0323275004790396,-0.00300999799575427,0.0144386914330196,0.00544733287253431,0.0095883856915761,0.0111745648911096,0.0116969844164811,0.0205662972399159,-0.000661074778213982,-0.00219755212843137,-0.0161727855597706,-0.0242458405721311,0.00262906770352742,0.0143651833856448,0.0357254010959314,-0.00120390337645436,0.00538436128824801,0.00212440218031565,0.00423877671597545,-0.0276787281149574,-0.0110017740080685,-0.00879892630138158,0.00097090972444122,-0.00961931335342675,-0.0195533436982782,-0.0108550626070032,0.00536801513594356,-0.0117085448056124,0.0115392761628236,0.0207016089123501,-0.0212365653362353,0.0185290602150924,-0.00744761028743862,-0.0164869703354829,0.00294770323933945,-0.00377002466286063,-0.0237044492665362,-0.00322003578834358,0.0064929326875375,-0.00277156844003223
72.08159_1.171,-0.0174897020337539,-0.0363152052063414,0.0471846659658852,0.0497641129231619,-0.0251425958362001,0.0395777362393717,-0.0325169173975704,0.0127247834039293,-0.0117255009950131,0.00239980180964255,-0.0213367158263393,-0.00715530754317615,-0.0241407140822661,0.0179539032929709,0.0042293227122367,0.0071837516742946,-0.0295700573296691,-0.0112522841992185,-0.00842115207312895,0.0141238360831216,0.0105390097242503,-0.00880301697381304,0.00291057318679678,0.0205034432817192,0.00245901448825174,0.00310533693084018,-0.000164644147148759,-0.0324182918785373,-0.0111576298276332,0.0182488411138129,0.00392403704521022,0.00874319069958204,0.00228275680637629,0.0145251115100379,-0.00990573894061276,0.0105850046875455,0.0101596495231642,0.00279344116697875,-0.00510591528811369,-0.0038949053222907,-0.00303145400053214,0.00210985784920537,-0.0038369620093313,0.00500971595258128,-0.00254587322021711,0.00155096904445698,-0.00998338198982647,0.00412696389218842,-0.00277513733876849,-0.0206850390709802,0.0115422442834591,-0.00123165438711688,0.0135631860646556,0.0381047363002138,0.00689347404165874,0.0200654965657098,-0.00376949026553368,0.0448130543356565
