mz_rt_min,calculated_mw,mz_ratio,rt_min,mode
98.97592_0.795,97.96841,98.97592,0.795,positive
96.96824_1.383,97.9755,96.96824,1.383,negative
98.98474_1.387,97.97746,98.98474,1.387,positive
100.02498_0.801,99.01774,100.02498,0.801,positive
98.02336_0.975,99.03078,98.02336,0.975,negative
243.06208_1.228,99.03175,243.06208,1.228,negative
100.07624_0.999,99.06896,100.07624,0.999,positive
101.00888_0.799,100.00146,101.00888,0.799,positive
99.00735_1.673,100.01479,99.00735,1.673,negative
101.02387_1.818,100.01659,101.02387,1.818,positive
118.0866_1.002,100.05281,118.0866,1.002,positive
133.0971_1.058,100.06376,133.0971,1.058,positive
101.10789_0.596,100.10062,101.10789,0.596,positive
99.92444_0.306,100.93158,99.92444,0.306,negative
102.00958_0.799,101.00213,102.00958,0.799,positive
119.07346_2.498,101.03965,119.07346,2.498,positive
100.03906_1.896,101.04636,100.03906,1.896,negative
100.03906_0.889,101.04647,100.03906,0.889,negative
100.03901_1.074,101.04655,100.03901,1.074,negative
103.00639_0.801,101.99898,103.00639,0.801,positive
120.08112_6.808,102.04731,120.08112,6.808,positive
104.03478_0.988,103.02704,104.03478,0.988,positive
104.07112_0.965,103.06385,104.07112,0.965,positive
104.07122_1.088,103.06395,104.07122,1.088,positive
104.10749_1.082,103.10022,104.10749,1.082,positive
102.98739_0.8,103.99467,102.98739,0.8,negative
105.00376_0.802,103.99641,105.00376,0.802,positive
103.03878_2.201,104.04606,103.03878,2.201,negative
106.00446_0.801,104.99714,106.00446,0.801,positive
88.95324_0.803,105.9565,88.95324,0.803,positive
107.00129_0.801,105.99388,107.00129,0.801,positive
107.04958_2.492,106.0423,107.04958,2.492,positive
108.04481_1.136,107.03745,108.04481,1.136,positive
106.97936_1.403,107.98714,106.97936,1.403,negative
126.10284_0.853,108.06906,126.10284,0.853,positive
110.00913_0.797,109.00176,110.00913,0.797,positive
127.05045_1.006,109.01672,127.05045,1.006,positive
108.0553_0.9,109.063,108.0553,0.9,negative
110.07174_0.897,109.06446,110.07174,0.897,positive
111.00986_0.797,110.00276,111.00986,0.797,positive
155.0451_1.034,110.04687,155.0451,1.034,negative
111.0557_1.074,110.04825,111.0557,1.074,positive
111.09207_0.867,110.08454,111.09207,0.867,positive
112.00665_0.799,110.99937,112.00665,0.799,positive
112.07609_1.133,111.06868,112.07609,1.133,positive
112.07606_0.871,111.06874,112.07606,0.871,positive
110.97444_1.563,111.98172,110.97444,1.563,negative
113.03495_1.532,112.02768,113.03495,1.532,positive
113.03497_1.267,112.02769,113.03497,1.267,positive
113.07132_1.066,112.06403,113.07132,1.066,positive
112.03906_1.246,113.04648,112.03906,1.246,negative
114.06658_0.994,113.05931,114.06658,0.994,positive
146.11765_1.134,113.08416,146.11765,1.134,positive
114.09175_4.395,113.08445,114.09175,4.395,positive
112.93598_1.615,113.94326,112.93598,1.615,negative
115.03955_1.121,114.03222,115.03955,1.121,positive
115.03951_1.818,114.03223,115.03951,1.818,positive
115.05432_3.655,114.04712,115.05432,3.655,positive
113.07067_1.003,114.07838,113.07067,1.003,negative
115.08698_0.877,114.07955,115.08698,0.877,positive
113.9354_1.615,114.94268,113.9354,1.615,negative
148.01452_0.799,114.9812,148.01452,0.799,positive
174.04001_1.542,115.02614,174.04001,1.542,negative
114.05493_1.017,115.06303,114.05493,1.017,negative
116.07098_0.876,115.06364,116.07098,0.876,positive
116.07099_1.144,115.06371,116.07099,1.144,positive
148.13335_1.185,115.09986,148.13335,1.185,positive
116.98627_0.802,115.97899,116.98627,0.802,positive
114.98735_0.797,115.99463,114.98735,0.797,negative
115.00242_2.154,116.0097,115.00242,2.154,negative
115.00242_1.239,116.0097,115.00242,1.239,negative
117.97979_0.329,116.97251,117.97979,0.329,positive
115.98792_0.797,116.9952,115.98792,0.797,negative
116.03402_1.232,117.04135,116.03402,1.232,negative
233.07761_1.025,117.04243,233.07761,1.025,negative
118.06546_7.739,117.05818,118.06546,7.739,positive
118.0866_1.171,117.07933,118.0866,1.171,positive
118.08659_1.001,117.07937,118.08659,1.001,positive
118.12288_1.158,117.11561,118.12288,1.158,positive
119.01926_0.805,118.01202,119.01926,0.805,positive
117.01809_1.812,118.02536,117.01809,1.812,negative
119.04936_1.72,118.04207,119.04936,1.72,positive
119.04938_8.156,118.04211,119.04938,8.156,positive
119.04944_1.209,118.04216,119.04944,1.209,positive
117.05442_3.687,118.0617,117.05442,3.687,negative
120.01164_1.385,119.00428,120.01164,1.385,positive
120.01976_0.803,119.01255,120.01976,0.803,positive
120.06087_0.978,119.05358,120.06087,0.978,positive
120.06582_1.058,119.05854,120.06582,1.058,positive
120.0811_6.814,119.07382,120.0811,6.814,positive
120.10211_1.014,119.09484,120.10211,1.014,positive
152.96926_0.327,119.93578,152.96926,0.327,positive
118.92939_0.937,119.93667,118.92939,0.937,negative
120.98129_0.796,119.97399,120.98129,0.796,positive
121.0167_0.788,120.00944,121.0167,0.788,positive
121.02865_1.254,120.02126,121.02865,1.254,positive
121.03995_1.169,120.03253,121.03995,1.169,positive
119.0337_1.155,120.04133,119.0337,1.155,negative
165.05485_6.588,120.05667,165.05485,6.588,negative
121.06509_1.182,120.05779,121.06509,1.182,positive
121.06512_1.461,120.05781,121.06512,1.461,positive
144.00903_1.4,121.01989,144.00903,1.4,positive
70.06594_1.144,121.09077,70.06594,1.144,positive
244.16566_0.862,121.5792,244.16566,0.862,positive
243.06216_1.229,122.03481,243.06216,1.229,negative
121.02829_5.672,122.03556,121.02829,5.672,negative
123.04427_1.723,122.03699,123.04427,1.723,positive
123.0443_1.209,122.03702,123.0443,1.209,positive
121.03958_4.177,122.04686,121.03958,4.177,negative
123.05555_0.998,122.04827,123.05555,0.998,positive
123.59452_0.883,122.58703,123.59452,0.883,positive
124.0873_0.944,123.07953,124.0873,0.944,positive
124.00615_1.206,125.01343,124.00615,1.206,negative
124.00616_1.075,125.01344,124.00616,1.075,negative
126.02219_1.084,125.01489,126.02219,1.084,positive
126.02223_1.207,125.01495,126.02223,1.207,positive
126.05517_1.145,125.0479,126.05517,1.145,positive
126.06641_1.057,125.05923,126.06641,1.057,positive
124.9902_1.442,125.9975,124.9902,1.442,negative
125.02327_1.605,126.03078,125.02327,1.605,negative
127.05047_2.941,126.04319,127.05047,2.941,positive
126.00076_5.079,127.00803,126.00076,5.079,negative
128.01947_0.804,127.01225,128.01947,0.804,positive
128.07095_1.193,127.06359,128.07095,1.193,positive
128.07088_0.983,127.06361,128.07088,0.983,positive
145.1084_1.016,127.07484,145.1084,1.016,positive
126.95171_1.778,127.959,126.95171,1.778,negative
161.02957_0.797,127.99609,161.02957,0.797,positive
126.99599_2.456,128.00327,126.99599,2.456,negative
129.01987_0.798,128.01274,129.01987,0.798,positive
129.02028_0.799,128.01338,129.02028,0.799,positive
129.07015_7.851,128.06287,129.07015,7.851,positive
129.1025_0.875,128.09521,129.1025,0.875,positive
111.11722_8.543,128.1205,111.11722,8.543,positive
129.13879_0.772,128.13143,129.13879,0.772,positive
127.92314_1.619,128.93042,127.92314,1.619,negative
128.03414_1.556,129.04155,128.03414,1.556,negative
130.05014_1.277,129.04285,130.05014,1.277,positive
130.06531_7.264,129.05807,130.06531,7.264,positive
130.60226_0.918,129.59484,130.60226,0.918,positive
128.93098_1.562,129.93826,128.93098,1.562,negative
130.96536_0.807,129.95807,130.96536,0.807,positive
128.95834_0.936,129.96561,128.95834,0.936,negative
129.06587_1.001,130.07348,129.06587,1.001,negative
131.57377_0.953,130.56631,131.57377,0.953,positive
130.04982_1.577,131.05708,130.04982,1.577,negative
130.04982_1.255,131.05709,130.04982,1.255,negative
132.0657_1.109,131.05842,132.0657,1.109,positive
130.08618_6.277,131.09346,130.08618,6.277,negative
132.10211_1.63,131.09483,132.10211,1.63,positive
132.10212_1.237,131.09484,132.10212,1.237,positive
130.95654_0.941,131.96379,130.95654,0.941,negative
130.98245_0.801,131.98972,130.98245,0.801,negative
132.99835_0.803,131.99108,132.99835,0.803,positive
133.03475_0.801,132.02747,133.03475,0.801,positive
131.03383_2.548,132.04112,131.03383,2.548,negative
133.0609_1.038,132.05364,133.0609,1.038,positive
131.07024_5.953,132.07751,131.07024,5.953,negative
131.08135_0.883,132.08863,131.08135,0.883,negative
133.09719_1.064,132.09009,133.09719,1.064,positive
116.07099_0.876,132.09016,116.07099,0.876,positive
131.98298_0.797,132.99025,131.98298,0.797,negative
133.99888_0.802,132.99171,133.99888,0.802,positive
134.03262_0.985,133.02534,134.03262,0.985,positive
134.03514_0.798,133.02786,134.03514,0.798,positive
134.04491_1.278,133.03765,134.04491,1.278,positive
134.06023_6.48,133.05296,134.06023,6.48,positive
132.06538_0.979,133.07264,132.06538,0.979,negative
134.11768_1.123,133.11041,134.11768,1.123,positive
133.0131_1.402,134.02037,133.0131,1.402,negative
133.01309_1.239,134.0204,133.01309,1.239,negative
133.0495_1.675,134.05678,133.0495,1.675,negative
133.04948_1.262,134.05687,133.04948,1.262,negative
136.07583_1.719,135.06857,136.07583,1.719,positive
136.07587_6.968,135.06859,136.07587,6.968,positive
136.07583_1.219,135.06859,136.07583,1.219,positive
134.87398_0.81,135.88122,134.87398,0.81,negative
134.97468_1.621,135.98297,134.97468,1.621,negative
135.02874_1.133,136.03638,135.02874,1.133,negative
137.0459_2.544,136.03862,137.0459,2.544,positive
137.04592_1.319,136.03864,137.04592,1.319,positive
137.04592_1.821,136.03864,137.04592,1.821,positive
135.04406_4.288,136.05171,135.04406,4.288,negative
137.05929_7.845,136.0525,137.05929,7.845,positive
137.05985_1.214,136.05262,137.05985,1.214,positive
136.00625_1.367,137.01391,136.00625,1.367,negative
138.05508_1.149,137.0478,138.05508,1.149,positive
136.05043_0.902,137.0577,136.05043,0.902,negative
136.07555_6.964,137.08283,136.07555,6.964,negative
138.58148_0.941,137.57413,138.58148,0.941,positive
136.87096_0.811,137.87836,136.87096,0.811,negative
137.03449_1.176,138.04201,137.03449,1.176,negative
139.0503_1.168,138.04303,139.0503,1.168,positive
138.05495_4.602,139.06223,138.05495,4.602,negative
138.05494_6.969,139.06234,138.05494,6.969,negative
138.96955_1.48,139.97684,138.96955,1.48,negative
185.00608_1.849,140.0079,185.00608,1.849,negative
141.01592_1.828,140.00864,141.01592,1.828,positive
139.05011_1.078,140.05755,139.05011,1.078,negative
141.06591_1.077,140.05867,141.06591,1.077,positive
142.03506_0.802,141.02778,142.03506,0.802,positive
140.03422_1.24,141.04177,140.03422,1.24,negative
142.05006_1.013,141.0427,142.05006,1.013,positive
159.11286_0.876,141.07906,159.11286,0.876,positive
284.17155_0.86,141.58216,284.17155,0.86,positive
164.93025_0.909,141.94101,164.93025,0.909,positive
221.07692_0.979,142.05605,221.07692,0.979,positive
144.04793_0.941,143.04066,144.04793,0.941,positive
142.04977_1.164,143.05711,142.04977,1.164,negative
144.06562_1.156,143.05837,144.06562,1.156,positive
144.10203_0.831,143.09471,144.10203,0.831,positive
177.00717_0.801,143.97367,177.00717,0.801,positive
145.03461_0.793,144.02733,145.03461,0.793,positive
143.03389_0.874,144.04131,143.03389,0.874,negative
288.96966_1.628,144.98798,288.96966,1.628,negative
144.04442_7.272,145.0517,144.04442,7.272,negative
146.06016_7.255,145.05288,146.06016,7.255,positive
146.08131_0.984,145.07405,146.08131,0.984,positive
146.11767_1.136,145.11038,146.11767,1.136,positive
147.01391_0.8,146.00663,147.01391,0.8,positive
145.01322_1.693,146.02054,145.01322,1.693,negative
145.01322_1.237,146.02098,145.01322,1.237,negative
145.09713_0.88,146.10441,145.09713,0.88,negative
147.11291_0.872,146.10568,147.11291,0.872,positive
189.12346_1.179,147.08964,189.12346,1.179,positive
148.13331_1.183,147.12603,148.13331,1.183,positive
148.13331_1.494,147.12603,148.13331,1.494,positive
146.9224_0.322,147.92966,146.9224,0.322,negative
130.96536_0.802,147.96861,130.96536,0.802,positive
146.98196_1.447,147.98924,146.98196,1.447,negative
147.01113_3.376,148.0184,147.01113,3.376,negative
149.02681_1.1,148.01955,149.02681,1.1,positive
147.04414_6.585,148.05142,147.04414,6.585,negative
150.00657_0.981,148.99929,150.00657,0.981,positive
150.01376_0.993,149.00658,150.01376,0.993,positive
150.05508_7.643,149.0478,150.05508,7.643,positive
150.07618_0.985,149.06888,150.07618,0.985,positive
151.00885_0.803,150.00157,151.00885,0.803,positive
149.02341_5.067,150.03069,149.02341,5.067,negative
149.02697_3.699,150.03425,149.02697,3.699,negative
134.0351_0.796,151.03844,134.0351,0.796,positive
152.05676_2.294,151.04948,152.05676,2.294,positive
152.05685_1.182,151.04958,152.05685,1.182,positive
303.20262_0.881,151.09772,303.20262,0.881,positive
152.96927_1.93,151.96206,152.96927,1.93,positive
153.04083_2.056,152.03355,153.04083,2.056,positive
153.04083_2.843,152.03356,153.04083,2.843,positive
151.03908_4.176,152.04636,151.03908,4.176,negative
153.05389_1.18,152.04642,153.05389,1.18,positive
153.0636_0.899,152.05643,153.0636,0.899,positive
152.07069_6.888,153.07806,152.07069,6.888,negative
154.9418_1.384,153.9345,154.9418,1.384,positive
152.98531_1.534,153.9926,152.98531,1.534,negative
153.02954_1.214,154.03707,153.02954,1.214,negative
155.0792_0.9,154.07192,155.0792,0.9,positive
154.06114_0.904,155.06842,154.06114,0.904,negative
156.07691_0.893,155.06963,156.07691,0.893,positive
154.89751_1.441,155.90479,154.89751,1.441,negative
154.92721_1.414,155.93448,154.92721,1.414,negative
198.0374_1.468,156.00359,198.0374,1.468,positive
155.00886_1.758,156.01614,155.00886,1.758,negative
201.03976_1.237,156.04156,201.03976,1.237,negative
157.08365_3.274,156.07637,157.08365,3.274,positive
157.0973_1.024,156.08992,157.0973,1.024,positive
157.17006_0.822,156.16279,157.17006,0.822,positive
196.04841_0.895,157.08528,196.04841,0.895,positive
156.10207_7.334,157.10934,156.10207,7.334,negative
158.96416_0.907,157.95689,158.96416,0.907,positive
157.01087_1.527,158.01815,157.01087,1.527,negative
159.02772_1.862,158.02044,159.02772,1.862,positive
157.061_1.028,158.06852,157.061,1.028,negative
159.0765_1.064,158.06924,159.0765,1.064,positive
157.48547_1.639,158.49303,157.48547,1.639,negative
157.86203_1.443,158.8693,157.86203,1.443,negative
157.99071_2.664,158.99803,157.99071,2.664,negative
160.04546_0.8,159.03819,160.04546,0.8,positive
160.06063_1.379,159.05319,160.06063,1.379,positive
158.06023_6.949,159.06797,158.06023,6.949,negative
158.08132_5.581,159.08859,158.08132,5.581,negative
158.08135_4.104,159.08862,158.08135,4.104,negative
160.09695_1.13,159.08968,160.09695,1.13,positive
160.09705_4.113,159.08981,160.09705,4.113,positive
160.13332_1.179,159.12601,160.13332,1.179,positive
158.49336_1.701,159.50093,158.49336,1.701,negative
161.02955_0.806,160.02227,161.02955,0.806,positive
141.01823_1.537,160.03613,141.01823,1.537,negative
219.09817_1.01,160.08429,219.09817,1.01,negative
161.09211_0.992,160.08486,161.09211,0.992,positive
161.12854_0.855,160.12127,161.12854,0.855,positive
159.97819_0.797,160.98547,159.97819,0.797,negative
160.06058_1.136,161.06802,160.06058,1.136,negative
220.08214_0.875,161.06815,220.08214,0.875,negative
162.07613_1.112,161.06889,162.07613,1.112,positive
381.17325_0.882,161.07952,381.17325,0.882,negative
162.11252_1.02,161.10525,162.11252,1.02,positive
160.8411_1.42,161.84838,160.8411,1.42,negative
160.91985_3.069,161.92713,160.91985,3.069,negative
162.99144_0.802,161.98413,162.99144,0.802,positive
161.05578_0.981,162.06328,161.05578,0.981,negative
369.1273_0.972,162.064,369.1273,0.972,negative
161.99293_1.002,163.00021,161.99293,1.002,negative
162.03987_1.088,163.04713,162.03987,1.088,negative
162.05515_5.024,163.06242,162.05515,5.024,negative
164.07055_7.272,163.0634,164.07055,7.272,positive
163.00614_1.737,164.01347,163.00614,1.737,negative
165.02455_0.802,164.01728,165.02455,0.802,positive
165.05477_1.379,164.04749,165.05477,1.379,positive
182.08133_1.722,164.0475,182.08133,1.722,positive
165.05477_1.209,164.04751,165.05477,1.209,positive
164.03775_1.129,165.04503,164.03775,1.129,negative
166.07248_1.45,165.0652,166.07248,1.45,positive
164.07084_6.827,165.07811,164.07084,6.827,negative
166.08647_6.807,165.07919,166.08647,6.807,positive
164.83516_1.356,165.84244,164.83516,1.356,negative
278.92517_0.788,165.94007,278.92517,0.788,negative
164.95609_1.345,165.96342,164.95609,1.345,negative
164.98547_1.736,165.99297,164.98547,1.736,negative
164.98544_1.55,165.99316,164.98544,1.55,negative
165.02971_4.184,166.03698,165.02971,4.184,negative
167.04535_4.19,166.03802,167.04535,4.19,positive
165.03969_1.545,166.04697,165.03969,1.545,negative
165.03955_1.214,166.047,165.03955,1.214,negative
165.04095_3.372,166.04823,165.04095,3.372,negative
165.05486_6.602,166.06213,165.05486,6.602,negative
167.09214_1.001,166.08475,167.09214,1.001,positive
167.10501_7.201,166.09773,167.10501,7.201,positive
355.26323_8.501,166.13693,355.26323,8.501,positive
203.7985_1.444,166.85006,203.7985,1.444,negative
168.06561_1.142,167.05834,168.06561,1.142,positive
167.00113_1.455,168.00891,167.00113,1.455,negative
167.02013_1.243,168.02741,167.02013,1.243,negative
167.02017_1.744,168.02745,167.02017,1.744,negative
169.09487_0.901,168.08754,169.09487,0.901,positive
168.02681_1.052,169.03435,168.02681,1.052,negative
170.08112_1.385,169.07383,170.08112,1.385,positive
170.09203_0.933,169.08476,170.09203,0.933,positive
168.98032_1.462,169.98782,168.98032,1.462,negative
169.01681_1.453,170.02355,169.01681,1.453,negative
171.05313_0.921,170.04584,171.05313,0.921,positive
171.07653_1.383,170.06926,171.07653,1.383,positive
203.13916_1.228,170.10564,203.13916,1.228,positive
169.89854_1.447,170.90582,169.89854,1.447,negative
169.99086_5.068,170.99814,169.99086,5.068,negative
172.00642_5.078,170.99918,172.00642,5.078,positive
170.0449_1.354,171.05218,170.0449,1.354,negative
170.04492_1.193,171.05221,170.04492,1.193,negative
170.05621_0.994,171.06393,170.05621,0.994,negative
210.06407_0.953,171.10094,210.06407,0.953,positive
172.1697_8.397,171.16294,172.1697,8.397,positive
173.04194_1.298,172.03488,173.04194,1.298,positive
173.0422_1.129,172.03493,173.0422,1.129,positive
205.08197_1.005,172.04847,205.08197,1.005,positive
231.09834_1.109,172.08446,231.09834,1.109,negative
171.94608_1.531,172.95301,171.94608,1.531,negative
172.00971_1.003,173.01693,172.00971,1.003,negative
172.02187_0.999,173.02915,172.02187,0.999,negative
174.07618_1.366,173.06888,174.07618,1.366,positive
174.0762_0.978,173.0689,174.0762,0.978,positive
174.07613_1.202,173.06891,174.07613,1.202,positive
172.09712_6.275,173.10439,172.09712,6.275,negative
172.09712_5.958,173.1044,172.09712,5.958,negative
172.09717_5.304,173.10444,172.09717,5.304,negative
196.09462_6.26,173.10539,196.09462,6.26,positive
196.09471_5.951,173.10546,196.09471,5.951,positive
174.99147_1.827,173.98417,174.99147,1.827,positive
173.05594_1.216,174.06322,173.05594,1.216,negative
173.0559_1.066,174.06369,173.0559,1.066,negative
287.04988_1.057,174.06416,287.04988,1.057,negative
173.09225_1.145,174.09954,173.09225,1.145,negative
175.10784_1.15,174.10056,175.10784,1.15,positive
175.10784_1.005,174.10056,175.10784,1.005,positive
175.14424_0.937,174.13696,175.14424,0.937,positive
174.03997_1.542,175.04725,174.03997,1.542,negative
174.03999_1.263,175.04728,174.03999,1.263,negative
176.05549_1.468,175.04818,176.05549,1.468,positive
176.07076_7.271,175.06348,176.07076,7.271,positive
174.07644_2.211,175.08371,174.07644,2.211,negative
159.07651_1.066,175.09579,159.07651,1.066,positive
352.19806_1.031,175.59539,352.19806,1.031,positive
174.97702_1.457,175.98429,174.97702,1.457,negative
177.00712_0.8,175.99984,177.00712,0.8,positive
177.02453_1.517,176.01725,177.02453,1.517,positive
175.01353_3.701,176.02081,175.01353,3.701,negative
175.0602_1.228,176.0679,175.0602,1.228,negative
175.07155_0.997,176.07882,175.07155,0.997,negative
177.08708_0.976,176.07981,177.08708,0.976,positive
175.09678_7.196,176.10404,175.09678,7.196,negative
176.04314_0.904,177.051,176.04314,0.904,negative
215.0324_1.275,178.08381,215.0324,1.275,negative
179.14308_7.981,178.13583,179.14308,7.981,positive
177.84402_1.433,178.8513,177.84402,1.433,negative
177.91199_1.447,178.91943,177.91199,1.447,negative
224.0231_1.719,179.02481,224.0231,1.719,negative
224.07709_0.884,179.07864,224.07709,0.884,negative
180.08672_0.886,179.07939,180.08672,0.886,positive
180.10204_5.093,179.09475,180.10204,5.093,positive
180.10204_8.012,179.09476,180.10204,8.012,positive
180.10207_7.595,179.09479,180.10207,7.595,positive
178.91965_1.454,179.92693,178.91965,1.454,negative
179.00099_1.532,180.00896,179.00099,1.532,negative
179.84088_1.438,180.84815,179.84088,1.438,negative
180.03287_2.028,181.04014,180.03287,2.028,negative
180.06578_1.218,181.07306,180.06578,1.218,negative
182.0813_6.966,181.07401,182.0813,6.966,positive
182.08135_7.413,181.07403,182.08135,7.413,positive
182.08132_1.37,181.07405,182.08132,1.37,positive
182.08134_1.211,181.07406,182.08134,1.211,positive
180.91174_1.602,181.91914,180.91174,1.602,negative
182.96205_0.804,181.95517,182.96205,0.804,positive
180.97218_0.914,181.97945,180.97218,0.914,negative
180.98049_1.522,181.98837,180.98049,1.522,negative
181.01686_1.45,182.02461,181.01686,1.45,negative
181.03605_2.895,182.04332,181.03605,2.895,negative
181.04986_4.302,182.05714,181.04986,4.302,negative
181.49632_1.611,182.50366,181.49632,1.611,negative
182.01208_1.35,183.01935,182.01208,1.35,negative
184.02762_1.353,183.02034,184.02762,1.353,positive
184.04848_0.931,183.0412,184.04848,0.931,positive
182.08154_6.082,183.08881,182.08154,6.082,negative
182.99611_1.459,184.00367,182.99611,1.459,negative
185.06882_0.918,184.06148,185.06882,0.918,positive
183.09206_5.608,184.09933,183.09206,5.608,negative
185.11672_7.576,184.10946,185.11672,7.576,positive
230.07798_0.993,185.07977,230.07798,0.993,negative
184.09724_6.679,185.10452,184.09724,6.679,negative
186.11269_6.707,185.10544,186.11269,6.707,positive
185.0119_1.419,186.01911,185.0119,1.419,negative
185.0448_1.596,186.05217,185.0448,1.596,negative
185.04479_1.229,186.05231,185.04479,1.229,negative
185.05599_1.02,186.06295,185.05599,1.02,negative
219.09762_1.179,186.06416,219.09762,1.179,positive
245.11426_1.186,186.10038,245.11426,1.186,negative
187.10778_1.117,186.10052,187.10778,1.117,positive
204.13441_0.849,186.10057,204.13441,0.849,positive
186.0376_1.048,187.04475,186.0376,1.048,negative
188.09183_1.195,187.08457,188.09183,1.195,positive
188.11566_0.905,187.10835,188.11566,0.905,positive
186.11287_7.182,187.12015,186.11287,7.182,negative
186.11289_6.861,187.12017,186.11289,6.861,negative
188.12839_7.158,187.12124,188.12839,7.158,positive
188.17583_0.848,187.16855,188.17583,0.848,positive
187.00638_7.082,188.01365,187.00638,7.082,negative
233.01247_1.73,188.01406,233.01247,1.73,negative
189.0523_6.622,188.04502,189.0523,6.622,positive
187.07158_1.26,188.07891,187.07158,1.26,negative
233.07762_1.031,188.07962,233.07762,1.031,negative
187.10812_1.113,188.1154,187.10812,1.113,negative
189.12341_1.027,188.11614,189.12341,1.027,positive
189.12345_1.236,188.11617,189.12345,1.236,positive
189.15981_1.01,188.15254,189.15981,1.01,positive
190.08236_0.978,189.07503,190.08236,0.978,positive
190.10749_1.181,189.10021,190.10749,1.181,positive
188.98565_1.624,189.99295,188.98565,1.624,negative
188.99692_1.146,190.00426,188.99692,1.146,negative
