"mz_rt_min","comp1","comp2"
"137.09618_8.448",0,0
"138.05508_1.149",0,0
"138.58148_0.941",0,0.12024522472558
"139.0503_1.168",0,0.0386162977241572
"139.11181_8.462",0,0
"140.94014_0.369",0,0
"141.01592_1.828",0,0
"141.06591_1.077",0,0.0611590806681398
"142.03506_0.802",0,0
"142.05006_1.013",0,0.0270438076377492
"144.00903_1.4",0,0.0759319890428608
"144.04793_0.941",0,-0.00251169972312117
"144.06562_1.156",0,0
"144.08091_3.647",0,0
"144.10197_1.257",0,0
"144.10203_0.831",0,0
"144.99214_0.792",0,0
"144.99215_0.797",0,0
"145.03461_0.793",0,0
"145.06081_0.976",0,0
"145.09735_0.99",0,0
"145.1084_1.016",0,0
"145.96666_0.33",0,0
"146.06015_3.649",0,0
"146.06016_7.255",0,0
"146.08131_0.984",0,-0.00682122653170765
"146.11765_1.134",0,0.0975740967256339
"146.11767_1.136",0,0.0975740967256339
"147.01391_0.8",0,0
"147.02517_0.797",0,0
"147.11291_0.872",0,0.112692643106958
"148.01452_0.799",0,0
"148.06049_1.063",0,0
"148.06051_1.27",0,0
"148.09686_0.99",0,0
"148.09688_0.982",0,0
"148.09692_1.022",0,0
"148.13331_1.183",0,0
"148.13331_1.494",0,-0.0384243564945627
"148.13335_1.185",0,0
"149.02681_1.1",0,0.00451834404581334
"149.06397_1.328",0,0
"149.09616_8.502",0,0
"149.09617_8.482",0,0
"149.11739_5.056",0,0
"150.00657_0.981",0,0.0317550914661255
"150.01376_0.993",0,0
"150.05508_7.643",0,-0.031206931694792
"150.05849_1.274",0,0
"150.07618_0.985",0,0
"151.00885_0.803",0,0
"151.04211_1.272",0,0
"151.04528_0.802",0,0
"152.05676_2.294",0,0
"152.05679_2.56",0,0
"152.05685_1.182",0,0
"152.96926_0.327",0,-0.00737437915199984
"152.96927_1.93",0,0
"153.04083_2.056",0,0.0551385575330442
"153.04083_2.843",0,0.06900765198638
"153.05389_1.18",0,-0.00371368945725785
"153.0636_0.899",0,0.0213592765097345
"154.9418_1.384",0,0
"155.0792_0.9",0,0.0556633379000917
"156.07691_0.893",0,0
"157.06092_1.119",0,0
"157.06095_1.291",0,0
"157.08365_3.274",0,0.0440582864242145
"157.08369_3.735",0,0
"157.0973_1.024",0,0.035250229035976
"157.09735_1.178",0,0
"157.17006_0.822",0,0.0141568268172776
"158.04486_1.436",0,0
"158.96416_0.907",0,0
"159.02772_1.862",0,0.0400022201143725
"159.0765_1.064",0,0.0262981360421608
"159.07651_1.066",0,0.0262981360421608
"159.07652_1.259",0,0
"159.11286_0.876",0,-0.0679959089280972
"159.94634_0.33",0,0
"159.98227_0.33",0,0
"160.04546_0.8",0,0.0107769510183087
"160.06063_1.379",0,0
"160.09695_1.13",0,0
"160.09705_4.113",0,0
"160.13332_1.179",0,0.0398074555322232
"161.02955_0.806",0,0
"161.02957_0.797",0,0
"161.09211_0.992",0,0.0428573768937118
"161.12854_0.855",0,0
"162.07613_1.112",0,0
"162.11252_1.02",0,0
"162.99144_0.802",0,0
"163.07135_0.972",0,0
"164.07055_7.272",0,0
"164.93025_0.909",0,0.0109925538339717
"165.02455_0.802",0,0
"165.05477_1.209",0,0.0817588720486544
"165.05477_1.379",0,0.0380046443325295
"166.05336_1.104",0,0
"166.07248_1.45",0,-0.0134541162493976
"166.08641_2.495",0,0
"166.08647_6.807",0,0.0595410187875028
"166.12072_0.992",0,0
"167.04535_4.19",0,0
"167.09214_1.001",0,0.0560180062699095
"167.10501_7.201",0,0.000685942340182729
"168.06561_1.142",0,0
"169.09487_0.901",0,0
"170.06013_3.643",0,0
"170.08112_1.385",0,0
"170.08121_1.109",0,0
"170.09203_0.933",0,0
"171.05313_0.921",0,0.0173143422935462
"171.07648_1.14",0,0
"171.07653_1.383",0,0
"171.09932_5.064",0,0
"172.00642_5.078",0,0
"172.13339_7.405",0,0
"172.1697_8.397",0,0.0104625355981134
"173.01246_0.79",0,0
"173.04194_1.298",0,0.0560935315374276
"173.0422_1.129",0,0.0334652626551827
"173.07856_2.154",0,0
"173.07856_2.155",0,0
"173.09223_1.109",0,0
"173.13252_8.495",0,0
"174.07613_1.202",0,0
"174.07618_1.366",0,0
"174.0762_0.978",0,0
"174.99147_1.827",0,0
"175.07171_0.979",0,0
"175.10784_1.005",0,0.114977136013658
"175.10784_1.15",0,0.0283593319018697
"175.11909_0.902",0,0
"175.14424_0.937",0,0
"175.59484_0.983",0,0
"176.05549_1.468",0,0
"176.07076_7.271",0,-0.097266855371539
"176.09184_1.038",0,0
"176.10312_1.28",0,0
"177.00712_0.8",0,0.060168533578844
"177.00717_0.801",0,0.0726419468064601
