calculated_mw,mz_ratio,rt_min,reference_ion,A_01,A_02,A_03,A_04,A_05,A_06,A_07,A_08,A_09,A_10,A_11,A_12,A_13,A_14,A_15,A_16,A_17,A_18,A_19,A_20,A_21,A_22,A_23,A_24,A_25,A_26,A_27,A_28,A_29,A_30,A_31,A_32,A_33,A_34,A_35,B_36,B_37,B_38,B_39,B_40,B_41,B_42,B_43,B_44,B_45,B_46,B_47,B_48,B_49,B_50,B_51,B_52,B_53,B_54,B_55,B_56,B_57,B_58
234.02356,235.03083,0.477,[M+H]+1,67046.82394,128261.1145,72615.70448,94327.12056,75332.86562,67256.82201,155242.7433,343108.7436,227577.1895,292112.2507,180841.9293,266603.5853,186339.5313,197910.0256,355735.9503,509571.7227,291764.5081,190220.944,192999.017,377720.552,306882.337,216042.1039,172790.321,364407.802,113773.6909,242507.7389,135227.3641,207861.8876,167374.61,148416.1137,158539.7832,205418.7891,155098.3867,144714.7959,350235.2461,188732.5004,159950.1254,118461.335,165953.7138,165538.4534,157715.2647,177620.9991,168946.3184,144137.3547,183263.3611,175740.8329,165182.8664,207245.5635,203599.5957,142385.062,237086.8131,153792.2386,183559.3866,183172.8307,119399.0726,794016.3316,187841.6937,156086.9851
218.02027,219.02755,0.545,[M+H]+1,71519.13843,99287.2453,60402.35293,297840.0892,121075.1209,379914.4641,530125.1838,647067.7508,714453.5658,478844.5623,545819.3519,642295.8118,732309.6817,626002.5626,694782.9026,675723.6288,655647.4948,443618.5889,237129.9507,881697.661,116830.8969,799951.221,682789.4474,275480.2445,594092.8807,258724.5723,785476.6962,237333.5252,762481.7214,678242.3474,664953.5852,860657.6899,761712.6496,748467.1014,728470.9524,750915.8131,642583.4522,780146.4706,604603.2086,744082.7856,726736.2101,602787.7144,722052.4878,861839.9245,696627.7936,650789.7767,905479.5669,703212.6833,633564.0467,627513.9993,816328.7562,760479.951,819225.2188,688206.8743,142018.6307,136712.0787,1007732.262,781079.5095
100.10062,101.10789,0.596,[M+H]+1,377769.7548,1601732.094,1359857.824,538221.7859,1578705.147,1484890.864,1489700.097,1330187.859,431100.6942,189452.2902,1299408.932,606066.2957,1258197.862,1053661.179,679013.6058,1180014.72,1124560.533,1035358.734,245554.414,1239392.992,186469.7207,190108.616,171780.2309,125215.2969,254252.1701,273066.5505,543165.6014,229270.7019,125703.6946,864862.3915,345520.7737,194064.7512,141298.1547,256509.2518,492200.2527,137589.3019,165049.9559,151334.0853,607176.7414,222869.2733,101126.7752,166139.4011,156081.2045,983044.6185,148113.4566,125463.1318,187807.7905,255448.0385,593407.7993,848607.8214,72200.08985,429556.7979,124174.3937,178175.9595,288104.7243,113226.4906,767596.8359,164393.021
85.94913,86.95641,0.598,[M+H]+1,475501.0494,456116.0771,617396.445,522393.5677,555984.9902,569149.9162,512625.2893,523888.8511,513049.5087,14914939.54,11048952.77,494439.3265,508900.0049,25540144.27,522975.8999,488598.9789,11641207.49,498547.8777,10156180.53,560084.0697,570915.2262,488440.0035,9905874.837,510007.0202,530004.5811,552206.8192,549645.7299,533213.5416,4333623.528,523212.7925,556176.073,5942279.337,10841553.12,8609780.771,571764.4198,573083.298,504159.8062,8106378.88,567959.6337,572956.0353,596936.2401,536384.7341,568874.6285,586173.8594,6219183.135,621063.0507,539027.5459,543448.4895,572901.7674,612264.1213,784022.3208,557681.0387,598051.6376,5158363.961,533463.3447,556028.1784,558914.4012,599901.2702
349.16066,350.16793,0.766,[M+H]+1,1576651.108,968014.4644,776408.118,2907416.164,5544969.236,675854.3859,4556746.212,593723.5537,729253.6725,2301335.829,4779717.183,684004.857,644995.9401,1089615.941,478037.54,551389.9979,350517.7227,293998.2701,643903.8301,2543318.903,597447.7387,2099754.402,1306819.942,1301243.008,778944.8503,2171526.284,789314.972,729683.4174,794446.6989,1411943.826,465069.6172,1401451.188,987404.4311,2362181.238,5313559.384,550427.0215,2190172.587,3197000.406,616009.8847,2124384.887,1344867.639,4121109.46,874057.1169,3333519.639,2113884.522,501280.4683,571941.3735,4460283.662,4221704.41,720212.1226,2369416.987,6399023.729,7287109.255,1988228.465,1353579.482,1515138.318,1814638.451,2023053.896
183.96232,184.96961,0.769,[M+H]+1,910358.7981,457138.6044,442226.546,208323.3562,176961.2951,354466.5843,198310.2007,403549.6644,417597.4484,579184.2065,227255.1293,327638.3708,259068.5147,212579.6552,550804.6504,1119836.559,212752.8196,847685.5172,276927.7515,396944.0338,455608.084,458809.3077,1166191.986,391338.9069,404175.5247,437382.689,1011048.714,1814187.225,946964.267,1629462.694,1300507.391,1416268.714,1791687.78,723237.1915,873127.9257,1633484.473,159051.387,1614903.533,2066224.807,1669272.91,775243.6541,653586.8901,1006785.002,1583921.294,1783885.141,589220.6111,917232.2331,2307484.689,1406516.475,829271.6146,1755371.863,1250884.384,1636102.269,1404894.959,2618030.451,3134133.533,2296998.36,1712560.808
259.95002,242.94656,0.77,[M+H-H2O]+1,796984.2328,668421.4712,1712501.341,1785515.539,1290846.966,1324727.284,732894.3202,798873.3014,365590.5592,1971497.793,702912.5602,698569.508,829415.2885,270722.9568,939428.3603,1172893.942,347092.1733,184691.1442,282587.2353,287478.0517,596321.0549,336263.9817,525085.2829,685270.646,329475.9375,197981.4803,521665.3176,599773.4629,295361.8828,782188.3405,277242.3261,364217.9439,203485.7159,276492.7321,352576.4868,394453.3119,299166.3689,349765.9452,548568.3937,302432.4487,386290.8905,316582.4418,408806.1656,381049.253,524400.2105,207952.0403,284949.4616,432370.6285,262514.7947,287467.8724,198394.9336,333199.3,188880.4914,179012.952,442217.0034,719005.7396,363079.3412,204009.9839
128.13143,129.13879,0.772,[M+H]+1,81547821.05,10064331.29,14295096.01,4506856.032,2175202.17,8350405.516,2299520.599,4950923.774,6943929.228,4802737.758,2957202.938,1685361.894,777200.9831,8058232.031,4453002.857,573284.3121,667063.5418,1155449.165,1636036.824,1645376.398,2602479.577,2218609.657,459411.4529,95630514.74,8674190.272,6919000.646,1644658.602,233798.8981,491200.487,532810.7642,212684.5423,263537.4805,454225.1819,308230.0243,1655519.992,254328.1314,495828.8234,1597075.63,253743.1408,505312.5536,1081059.339,1982863.573,551502.046,517256.7128,358713.5869,770262.8554,305235.7829,1081135.748,367974.85,1032673.963,267926.73,513537.4703,1762619.586,1489937.73,354553.4001,342993.4058,320250.4088,3457163.36
220.00803,221.01531,0.783,[M+H]+1,21046879.47,21978691.99,17842867.21,12628571.04,13303968.24,15321588.51,12639686.37,10584521.33,23588709.26,11070193.55,15649704.28,9337777.066,12390815.77,18850333.38,11347077.34,11523314.8,17006347.45,17184351.99,14359166.54,15180477.37,18158546.79,12362525.35,12275881.95,16737974.22,13927277.17,15402754.13,16926732.81,7161387.504,9523745.729,11252563.93,10020801.42,9935113.673,12864256.74,12424787.64,7940411.404,6736024.844,11980504.08,10620471.89,7746241.796,8308714.386,15422088.64,16399154.18,8111676.602,10570448.16,9914146.605,15095751.28,10169297.78,6485511.422,9844094.228,14792582.47,9528794.669,12005476.03,13672524.75,8646554.163,5950036.574,8817066.28,8578253.846,10496992.21
234.02339,235.03066,0.786,[M+H]+1,2065000.755,1006873.36,1824642.159,1327848.494,665246.9407,978767.1184,1433602.422,221286.7167,3302151.447,969264.5557,1834968.696,836083.0393,1280140.603,2234734.011,1523662.045,396015.693,2318228.295,2415706.673,1816696.832,1733275.949,482425.1706,793170.159,1441007.979,1248864.017,1558767.956,2204043.941,1803499.008,860722.7467,1267795.995,1774752.994,1562665.643,1685472.471,1784736.97,2074249.097,1112510.081,1446364.077,1372370.91,1288672.475,1290593.847,1115914.885,1010868.457,2601854.861,1326618.391,1061746.51,1394738.974,2079533.463,677747.8217,1378114.663,1135379.29,1958788.04,1417478.283,1668463.901,2218375.481,1365492.713,783345.0811,390553.5483,954340.9619,980537.7897
