calculated_mw,mz_ratio,rt_min,reference_ion,A_01,A_02,A_03,A_04,A_05,A_06,A_07,A_08,A_09,A_10,A_11,A_12,A_13,A_14,A_15,A_16,A_17,A_18,A_19,A_20,A_21,A_22,A_23,A_24,A_25,A_26,A_27,A_28,A_29,A_30,A_31,A_32,A_33,A_34,A_35,B_36,B_37,B_38,B_39,B_40,B_41,B_42,B_43,B_44,B_45,B_46,B_47,B_48,B_49,B_50,B_51,B_52,B_53,B_54,B_55,B_56,B_57,B_58
104.92622,103.91884,0.315,[M-H]-1,1741333.695,1290910.115,1240866.077,2025011.081,1157029.35,5309137.007,1872595.941,1929380.24,1213778.207,2281095.755,1737692.551,1496090.306,2286961.126,1511995.213,1784236.936,1435399.75,2347272.744,2037891.002,2021381.442,2263736.597,1842532.144,2976467.022,2234331.536,2306868.276,1575065.653,2987770.838,2758028.579,1965989.82,2411640.112,1814799.409,1099867.988,2604890.196,1632279.488,2652643.62,1385796.853,1578478.563,1902911.526,7349676.063,1553827.919,1445631.134,1555213.237,1767149.558,5152436.453,1509820.048,1417598.069,2466915.549,1616758.233,7033783.571,1333934.478,2998671.017,6949755.36,1243889.066,1702390.027,2273506.122,1404350.616,1579283.39,1594271.684,2250859.943
86.93505,218.86801,0.315,[2M+FA-H]-1,472049.3044,151288.9863,336205.2654,647731.5292,465766.2617,168692.9719,490979.2353,326715.123,469482.852,1139514.767,846605.2827,379605.0056,545191.6541,222955.2138,213346.104,290128.0397,691877.0311,758173.1461,435613.8317,770758.07,661246.665,1347026.044,227928.8591,380370.613,851098.6004,1444605.856,1927770.673,393219.7327,1206473.715,332232.2092,512400.9932,1346944.303,804880.0714,375664.644,539990.3713,166777.8276,182591.0624,297982.3281,197927.9027,531267.7578,507021.4892,185671.4388,727054.1773,189915.891,154566.2873,178086.3025,166791.6638,135373.6846,557384.3042,382591.9634,124205.6073,622212.817,298373.5937,215651.3424,384240.5185,129060.9701,683655.5337,382366.6303
263.86567,308.86392,0.315,[M+FA-H]-1,3661871.52,1433891.514,3298573.421,5068626.607,3539304.718,1686492.547,4154128.17,2876959.151,3409385.654,8893100.118,6692528.956,3101906.603,4908743.26,2193234.908,1877879.839,2196044.629,5915647.115,4641967.549,3005715.938,7019074.135,4723941.749,10677736.47,1903629.348,3668115.039,6767385.957,9482438.087,10929517.09,2742718.785,8781835.182,4193374.18,4010995.122,9771914.174,5827649.974,3151545.4,4248653.493,1449261.065,1805730.07,2657761.58,1626896.289,3882130.597,3667282.366,1420602.369,4908555.083,94707.70842,1530964.226,1497169.566,1458413.278,1316927.097,4155283.665,3532940.909,1186236.44,5076487.884,2869871.583,1924311.17,3259038.851,1381484.268,4791549.879,3281795.262
335.87083,334.86355,0.315,[M-H]-1,674763.8501,215170.2932,435768.8961,1016929.878,558346.6462,253350.662,573322.6762,460792.1581,706270.9742,1720339.403,1255879.427,502235.5322,785450.707,313761.4984,332780.9804,649210.2447,1077207.889,809247.1942,414553.1599,1108785.562,778346.3119,1532205.654,304710.8695,634078.3535,1009606.32,2078400.677,1985665.238,370637.0367,1375524.789,503542.9607,750972.5785,1728898.216,920197.8149,400566.0947,714794.7584,256386.6161,252883.341,379605.9403,192690.5403,622359.5754,659417.8963,199563.9747,892304.5817,230934.0633,171882.173,289050.7601,193587.6355,143812.1516,800043.4597,491924.7894,155510.6466,835430.3548,854215.2891,213466.8812,737790.3418,216431.6169,865817.0204,497182.0142
106.94174,105.9345,0.316,[M-H]-1,190758.3332,154220.2327,152047.1705,534291.3943,143472.5078,548693.1128,133160.5294,249929.4782,134906.5023,282434.3304,111355.8815,173076.5221,336574.3867,156787.0739,118205.9772,144797.0963,199526.7212,236561.183,266246.5761,135421.4945,200121.5932,473825.3559,352666.3651,150670.1768,169571.2553,364787.8564,325682.788,201262.1356,316899.9492,275193.1051,123113.769,287026.5978,226326.1549,133480.061,159777.7036,145014.7685,215495.6511,148937.8343,137243.1745,166689.2079,147499.7146,202341.0128,268723.5635,104019.5168,78206.66914,238237.86,164448.3097,723147.3928,130639.9394,147338.3434,139656.0164,296929.2857,183180.3267,140730.027,173852.1152,217665.7683,186579.3361,113008.8578
324.87842,305.86038,0.316,[M-H-H2O]-1,373967.9455,106648.5971,374740.9371,547414.2383,430189.6592,174929.503,446804.1539,326389.3795,375718.6223,1034806.172,730337.7689,306075.1821,556118.8186,222824.2932,157215.9968,227565.2753,662027.2051,562439.1542,390261.5966,898501.5398,525076.1709,1197201.31,189050.9223,371062.5691,776729.4407,1060033.747,1168389.235,290678.11,47135.91871,466185.2738,443528.3485,1152090.155,660902.578,331746.0225,396982.6972,135788.9124,182797.7694,294246.326,44497.77883,433748.0699,435690.1852,126180.2129,433552.2429,161240.3834,148337.0619,130485.2424,46711.4733,113745.6626,458778.6592,393245.5909,121172.3641,602327.5446,326588.3956,195120.8782,322913.7609,120311.5691,548466.4517,358542.0937
311.87188,310.8646,0.316,[M-H]-1,326940.9442,169361.3479,428829.732,586670.1809,380584.3231,241822.4184,518801.1692,355395.2194,438712.5714,999036.1069,779436.9188,400873.2637,526146.5698,258281.9946,299124.2779,279257.304,672913.1228,567733.0986,392655.2336,826724.2232,521234.5412,849223.4417,213210.9946,453267.1735,442243.6131,785648.4791,924175.2912,260612.4047,909660.9534,374353.8656,391081.5846,806132.931,405411.7295,414638.776,531842.6896,159225.0495,219270.7439,264121.6265,227088.2473,372269.5687,322351.7123,255771.8163,454224.9471,239585.7373,183520.1629,255681.8156,194498.3092,215387.4812,643263.2634,494514.011,173038.5209,529974.7473,375774.844,289428.066,538415.16,262436.7717,527012.7226,383566.9207
90.94711,135.94539,0.318,[M+FA-H]-1,168515.508,156420.2801,80829.74915,171034.7109,61972.03543,63426.42712,52847.8976,289553.3974,220190.1089,210071.6274,70866.23382,199569.5427,43600.92651,116040.6515,222157.7778,38075.39176,224697.1212,291029.6268,50990.31831,51961.09642,141119.3461,357601.0809,93474.34337,215533.2349,237756.7585,184148.4256,221038.2635,265654.6786,241307.0445,121187.2046,104412.9167,214266.0866,107833.7774,146219.1748,311018.1061,126527.4444,118273.8312,260352.2801,81855.1532,424041.3722,176811.5341,592789.2462,270623.1996,291914.1914,121038.9395,28620.76678,45943.36911,28732.14633,150880.6498,94127.58168,69182.63121,630068.2315,595846.4681,80908.08676,132075.8584,41803.85899,55804.67681,44435.85485
149.92521,148.91772,0.318,[M-H]-1,296805.8313,187431.2896,331298.4534,335745.3618,629346.4099,212709.9034,285649.2188,253874.7284,581407.5528,488787.702,708853.1969,386202.8039,425843.959,209635.1308,271553.2529,1081326.167,500018.6569,898749.9932,249852.2653,2310782.239,763516.1473,458627.5852,215390.8256,2317529.134,226375.4629,1003793.776,456583.7752,224598.8338,2931935.288,567947.9494,280598.7903,481679.2876,320779.2257,249582.2286,683788.4164,215358.1435,2324637.028,2250437.201,2430192.779,690551.6546,2239712.636,312710.1444,410072.0819,239725.9123,2373792.695,268482.6991,2283627.09,214660.8163,432842.3277,1160894.785,234235.5972,346628.0833,262030.7441,232260.1037,439123.902,2340359.599,611130.364,428375.4622
69.02026,68.01277,0.32,[M-H]-1,81490.2605,13726.24116,44950.57923,24172.12196,89293.99154,27735.47056,118022.9207,90159.6567,30447.19501,38070.90391,73696.48187,69259.75902,39410.82352,19979.99966,65085.41447,45645.93582,72687.06063,60228.23798,61359.50215,91911.77328,29465.6265,119607.727,17462.22721,39522.44067,74491.99918,58797.62417,65874.6119,17165.46623,123596.3235,65302.90427,73846.43487,39720.65369,34961.12387,49055.79513,29128.80955,17948.43377,15574.34447,49930.39603,14549.83443,28447.20896,27832.63933,21925.03643,93087.56864,21878.14974,14467.92744,14979.00872,14698.08525,15767.04254,46421.01533,26200.54753,13514.90503,43089.36997,32550.73896,21629.14947,42204.09739,13762.52442,68446.90703,19053.39495
