"mz_rt_min","comp1_value","comp2_value"
"139.0503_1.168",NA,0.0138138889802064
"423.27384_8.508",NA,-0.0134954297009622
"104.07112_0.965",NA,0.0129684851512922
"229.14357_7.847",NA,-0.0129530931015859
"132.0657_1.109",NA,-0.0126642165298653
"148.13331_1.494",NA,-0.0123404103240003
"525.28898_6.848",NA,0.0119463982060833
"120.0811_6.814",NA,0.0118288746439258
"120.08112_6.808",NA,0.0115813508206941
"201.07189_0.872",NA,0.0114803890620234
"165.05477_1.379",NA,0.010522417068452
"434.18934_1.192",NA,0.0101631618427016
"331.16523_0.878",NA,0.00990645533863916
"314.23264_7.604",NA,-0.00985416613002063
"430.71016_5.809",NA,-0.00971961051480747
"498.78192_7.426",NA,0.0091377860304175
"255.1452_3.028",NA,-0.0091080808555995
"150.00657_0.981",NA,0.00897335721841038
"280.0486_1.408",NA,-0.00884658094963446
"342.23901_6.641",NA,-0.00855314451980079
"335.15573_1.016",NA,-0.00853079921586057
"269.16081_1.121",NA,0.00818681538693503
"123.05555_0.998",NA,0.00771939470076879
"173.0422_1.129",NA,0.00681902394674105
"113.07132_1.066",NA,0.00662655086666795
"113.03495_1.263",NA,0.00592653969894622
"113.03497_1.267",NA,0.00592653969894622
"101.10789_0.596",NA,0.0043923136094847
"212.10304_1.117",NA,0.00434989282566701
"447.22018_7.515",NA,-0.00425013906678252
"133.0609_1.038",NA,-0.00367400705486205
"503.30678_6.84",NA,0.001882795803125
"281.14947_1.198",NA,0.00173267763736739
"203.13916_1.228",NA,0.00166335964589208
"290.0758_1.106",NA,-0.00123422399172872
"246.1448_1.222",NA,0.00119857909930955
"175.10784_1.15",NA,0.000918287647203042
"150.05508_7.643",NA,-0.000214029352262375
"362.20746_5.426",NA,-0.000127291100914475
"85.0654_8.101",NA,4.18998607613766e-05
