"sample","mode","treatment","is_outlier","group_dist","Q1","Q3","IQR","upper_bound","PC1","PC2","cohort","centroid_PC1","centroid_PC2"
"A_30","pos","tr1+tr2",FALSE,8.34458537390142,9.61345987294462,25.7555197421122,16.1420598691676,49.9686095458635,-19.5056192388465,3.68125363588497,"A",-19.8213271406058,-4.65735737453495
"A_31","pos","tr1+tr2",FALSE,38.4360100517233,9.61345987294462,25.7555197421122,16.1420598691676,49.9686095458635,-22.3748252834211,33.6937379935352,"A",-19.8213271406058,-4.65735737453495
"A_32","pos","tr1",FALSE,17.1875650962033,10.3720725209222,14.6887975522844,4.31672503136224,21.1638850993278,19.3025570714275,18.1774613874911,"A",20.7630735004593,1.05206253967576
"A_33","pos","tr2",FALSE,19.5183030682267,7.93290386832125,20.4142121788931,12.4813083105719,39.1361746447509,-25.9597939390881,20.9904098304758,"A",-19.2561627500418,2.65941194317038
"A_34","pos","control",FALSE,10.6707254770896,4.64721817692031,12.2677371965427,7.62051901962242,23.6985157259764,21.4023520603812,12.2788662388749,"A",21.146034553132,1.61121965947949
"A_35","pos","tr1+tr2",FALSE,13.9819770697476,9.61345987294462,25.7555197421122,16.1420598691676,49.9686095458635,-6.89901103658562,0.682064812062324,"A",-19.8213271406058,-4.65735737453495
"B_36","pos","tr2",FALSE,18.3989000912663,7.93290386832125,20.4142121788931,12.4813083105719,39.1361746447509,-19.4717179969174,21.0570493051782,"B",-19.2561627500418,2.65941194317038
"B_37","pos","tr2",FALSE,8.95237964601234,7.93290386832125,20.4142121788931,12.4813083105719,39.1361746447509,-25.4880141149088,9.08662983993893,"B",-19.2561627500418,2.65941194317038
"B_38","pos","tr2",FALSE,20.7128485491152,7.93290386832125,20.4142121788931,12.4813083105719,39.1361746447509,-6.20249498255712,18.7411983126853,"B",-19.2561627500418,2.65941194317038
"B_39","pos","tr1",FALSE,15.0076914797114,10.3720725209222,14.6887975522844,4.31672503136224,21.1638850993278,16.2604590791952,15.3683912214163,"B",20.7630735004593,1.05206253967576
"B_40","pos","tr1",FALSE,11.9982983686178,10.3720725209222,14.6887975522844,4.31672503136224,21.1638850993278,17.6294733311247,12.6339325838924,"B",20.7630735004593,1.05206253967576
"B_41","pos","tr1+tr2",FALSE,4.85131662504546,9.61345987294462,25.7555197421122,16.1420598691676,49.9686095458635,-23.7843059441704,-1.85913079347688,"B",-19.8213271406058,-4.65735737453495
"B_42","pos","tr2",FALSE,5.6802669842633,7.93290386832125,20.4142121788931,12.4813083105719,39.1361746447509,-18.7460388666436,8.3167263799061,"B",-19.2561627500418,2.65941194317038
"B_43","pos","tr2",FALSE,6.76087684288213,7.93290386832125,20.4142121788931,12.4813083105719,39.1361746447509,-22.1154052310726,8.78592711243985,"B",-19.2561627500418,2.65941194317038
"B_44","pos","tr2",FALSE,12.2339169103403,7.93290386832125,20.4142121788931,12.4813083105719,39.1361746447509,-25.8699740427462,12.9514585401115,"B",-19.2561627500418,2.65941194317038
"B_45","pos","control",FALSE,5.66642806953232,4.64721817692031,12.2677371965427,7.62051901962242,23.6985157259764,20.4331730459534,7.23262833869565,"B",21.146034553132,1.61121965947949
"B_46","pos","tr1+tr2",FALSE,11.2628030884929,9.61345987294462,25.7555197421122,16.1420598691676,49.9686095458635,-26.4961101586219,4.41446741833723,"B",-19.8213271406058,-4.65735737453495
"B_47","pos","tr1+tr2",FALSE,5.42598000898413,9.61345987294462,25.7555197421122,16.1420598691676,49.9686095458635,-21.0266877297403,-9.94776046957947,"B",-19.8213271406058,-4.65735737453495
"B_48","pos","tr1+tr2",FALSE,20.7411495889888,9.61345987294462,25.7555197421122,16.1420598691676,49.9686095458635,-7.16733837974799,11.7765056744531,"B",-19.8213271406058,-4.65735737453495
"B_49","pos","tr1+tr2",FALSE,24.829299375987,9.61345987294462,25.7555197421122,16.1420598691676,49.9686095458635,-15.8287131491032,19.8488283959444,"B",-19.8213271406058,-4.65735737453495
"B_50","pos","tr1+tr2",FALSE,19.9443306050681,9.61345987294462,25.7555197421122,16.1420598691676,49.9686095458635,-27.0131745486679,13.9451600396057,"B",-19.8213271406058,-4.65735737453495
"B_51","pos","tr1",FALSE,11.2525598968588,10.3720725209222,14.6887975522844,4.31672503136224,21.1638850993278,18.3975723310411,12.0531765037194,"B",20.7630735004593,1.05206253967576
"B_52","pos","tr2",FALSE,13.0806913239003,7.93290386832125,20.4142121788931,12.4813083105719,39.1361746447509,-21.4751152416246,15.5505226537049,"B",-19.2561627500418,2.65941194317038
"B_53","pos","control",FALSE,1.57412909754215,4.64721817692031,12.2677371965427,7.62051901962242,23.6985157259764,22.5597797290587,0.91897187633185,"B",21.146034553132,1.61121965947949
"B_54","pos","control",FALSE,7.73338978382359,4.64721817692031,12.2677371965427,7.62051901962242,23.6985157259764,27.4336954221702,6.11351222488575,"B",21.146034553132,1.61121965947949
"B_55","pos","control",FALSE,3.07455374181862,4.64721817692031,12.2677371965427,7.62051901962242,23.6985157259764,19.2066771112723,-0.774524128950894,"B",21.146034553132,1.61121965947949
"B_56","pos","control",FALSE,11.4482902751408,4.64721817692031,12.2677371965427,7.62051901962242,23.6985157259764,18.9416842881711,-9.62284417037528,"B",21.146034553132,1.61121965947949
"B_57","pos","control",FALSE,5.02782746269725,4.64721817692031,12.2677371965427,7.62051901962242,23.6985157259764,22.8421186750296,6.34433149484738,"B",21.146034553132,1.61121965947949
"B_58","pos","control",FALSE,9.42130021176982,4.64721817692031,12.2677371965427,7.62051901962242,23.6985157259764,22.4287653608445,-7.72234875540017,"B",21.146034553132,1.61121965947949
