"mz_rt_min","log2FC","AveExpr","t","p","p_adj_BH","log_odds"
"181.04986_4.302",3.51997486777896,24.0810484701257,13.3759307361001,1.79889497671776e-19,1.12355982087497e-17,34.0339820482403
"324.09358_1.179",5.11028973462185,22.1062840782319,13.2896488919236,2.39700919243405e-19,1.43724671178346e-17,33.7509520891803
"324.09373_1.332",5.4891692467288,21.9805681637499,13.212666579085,3.09918497983447e-19,1.78679934029687e-17,33.4975898242364
"323.16203_6.887",-4.11643981923908,19.3520219574843,-12.9657889775574,7.10069025662656e-19,3.94219803506785e-17,32.6797453507525
"172.09712_6.275",4.09055834751256,22.5325168948486,12.9127884381978,8.49261403201689e-19,4.54658158356904e-17,32.5031092502185
"672.85986_0.919",-4.0472260883287,19.127224222343,-12.7588647745871,1.43121166388976e-18,7.39788373851982e-17,31.9880057836297
"307.10383_1.224",-2.64537605614854,20.95075637685,-12.7233059843257,1.61530418738449e-18,8.07113658963116e-17,31.8685610039408
"165.05485_6.588",3.98285146296289,24.681722090983,12.6537686704883,2.04749787410228e-18,9.65683921949736e-17,31.6344945821821
"165.05486_6.602",3.98437178662536,24.6813551163059,12.6517724803281,2.06150003351511e-18,9.65683921949736e-17,31.6277658230857
"215.47775_1.712",-3.09989264118166,19.574465911912,-12.639373062446,2.150669992629e-18,9.76925551197235e-17,31.5859580208102
"274.06996_6.832",4.39553456192321,18.4905781829268,12.461785184607,3.95280517674729e-18,1.74272204704241e-16,30.9849405261345
"240.08516_6.279",4.15011917804955,19.0262900335852,12.4401742247429,4.25786643423427e-18,1.81011163280001e-16,30.9115170122336
"621.01035_0.897",-3.90768140302971,19.3317940660607,-12.434143698575,4.3471660294063e-18,1.81011163280001e-16,30.8910172144226
"164.03775_1.129",2.98659490726004,26.047516842559,12.4209742488553,4.54881656008219e-18,1.84288541177384e-16,30.8462331094773
"134.97468_1.621",-2.68824009771734,20.4372854979362,-12.238905390361,8.53356559860126e-18,3.36626706113245e-16,30.2247462833554
"172.09712_5.958",2.72176198636867,22.050507209411,12.1571225562726,1.13359993481006e-17,4.35709308276995e-16,29.9441647600429
"408.1626_0.996",5.15496508267657,20.4032050437182,12.0798460686507,1.48365416696455e-17,5.55999399069965e-16,29.6782388296246
"238.02356_0.928",3.84719260217049,20.2284899022152,12.0533730620527,1.62721930029557e-17,5.94927251498306e-16,29.5869597678086
