"mz_rt_min","log2FC","AveExpr","t","p","p_adj_BH","log_odds"
"165.05486_6.602",3.58189940980175,24.6813551163059,11.7467916090639,4.77304847780639e-17,1.40290189573172e-15,28.5231655596472
"136.07555_6.964",-3.76640483283003,20.2629673701428,-11.7326143876604,5.01801113654979e-17,1.44653821032464e-15,28.4736806557254
"306.04762_2.952",-3.65780913246233,18.3880471649953,-11.6541468881566,6.62264150463846e-17,1.8730829463119e-15,28.1993271942804
"324.09358_1.179",4.3198313025044,22.1062840782319,11.6024346879576,7.9547417535232e-17,2.20817738676505e-15,28.0180900952435
"238.02356_0.928",3.5808327827697,20.2284899022152,11.5867883035137,8.40886345410168e-17,2.2917975123088e-15,27.9631865596478
"604.87211_0.918",-4.53696343289914,20.2095860934832,-11.5196604018979,1.06741120708397e-16,2.85723107039085e-15,27.7272796280954
"172.09712_6.275",3.52711195449637,22.5325168948486,11.4992906347244,1.14766502765335e-16,3.01815767798661e-15,27.6555812077538
"181.04986_4.302",2.90021663910097,24.0810484701257,11.3822796146272,1.74219778818235e-16,4.50268014566439e-15,27.2427048001104
"134.97468_1.621",-2.41908822241477,20.4372854979362,-11.3747167746954,1.78994445440907e-16,4.54767243586303e-15,27.2159597959579
"459.1357_1.125",-3.68569588427246,22.2785951792441,-11.3109600017541,2.24879356409352e-16,5.6182359209603e-15,26.9902072184066
"172.09712_5.958",2.44468591443264,22.050507209411,11.2776362505064,2.53417920200685e-16,6.22743380952174e-15,26.8720109037597
"685.25581_7.34",-3.62028426102223,19.6247538203047,-11.13824579682,4.18326118047661e-16,1.01140459831201e-14,26.3761104717084
"306.04775_2.94",-3.06105676996288,18.9069887160705,-11.1232074748877,4.41631913203069e-16,1.05080355220857e-14,26.3224661500237
"420.19903_1.197",5.74959126298145,20.7943731502445,11.0845556012411,5.07728876030347e-16,1.18919622682733e-14,26.1844607197826
"138.05494_6.969",-2.91089644884289,19.5058275834912,-10.9293347411879,8.90555380626852e-16,2.05375771624562e-14,25.6284133254474
"186.11287_7.182",3.64541225157229,20.2874553205547,10.8473397869424,1.19969257361606e-15,2.72475631492496e-14,25.3335076169819
"202.10797_6.864",3.38128695698407,19.0238327330649,10.7907377565271,1.4743575169411e-15,3.2985998774548e-14,25.1294619351854
"290.08813_1.23",2.86974528429314,22.7290923461589,10.7474516986232,1.72656221271309e-15,3.80605405420135e-14,24.9731625811901
"233.06649_1.204",-2.17101384975341,22.2783164224793,-10.7233909359063,1.88513898733735e-15,4.09539614785318e-14,24.8861871283279
"230.10303_5.177",4.35931138678171,19.822274654785,10.6958224428728,2.08498881613923e-15,4.46485462198957e-14,24.7864481069751
"232.02835_4.662",-4.43410061199934,20.6935571379819,-10.5899012925982,3.07319167061884e-15,6.48833002008118e-14,24.4024137454983
"222.03684_0.864",3.47970010194399,19.7700962906457,10.5449586050892,3.62449296900664e-15,7.54599300075132e-14,24.2390737037049
"611.28554_7.306",-3.98824743904656,20.3102264061261,-10.5141559482991,4.05898310921356e-15,8.33481600097414e-14,24.1269901984396
"240.08516_6.279",3.38066182348059,19.0262900335852,10.4660302435868,4.84543783734368e-15,9.81528556510565e-14,23.9516552611208
"169.01681_1.453",-2.59091039785931,20.8561304697852,-10.4355048144123,5.42223320618689e-15,1.08372367680989e-13,23.8403064744722
"165.04095_3.372",3.75162998263166,21.0711170465684,10.3847248942635,6.53933690495717e-15,1.28979816059616e-13,23.6548415924503
"260.00537_0.923",2.6445755929103,19.4787092636834,10.3750366236213,6.7775017776842e-15,1.31941235905826e-13,23.6194239556833
"553.02315_0.895",-3.69574164631714,20.144806229579,-10.3512439711827,7.40017957884435e-15,1.42216271649842e-13,23.5324000655802
