"mz_rt_min","log2FC","AveExpr","t","p","p_adj_BH","log_odds"
"130.96536_0.802",1.0915032993081,26.0281809361397,3.76312505649053,0.000390168702966449,0.000995694577587293,-0.747022144017934
"130.96536_0.807",1.0915032993081,26.0281809361397,3.76312505649053,0.000390168702966449,0.000995694577587293,-0.747022144017934
"228.09768_1.104",-1.1669620500386,22.5211587393573,-3.75567263063676,0.000399631267444558,0.0010181082289659,-0.769811769547428
"115.03955_1.121",-1.28663712044732,22.2457622996362,-3.75376442200209,0.000402089304892893,0.00102263120327598,-0.775642674130598
"628.33081_5.169",2.16823049619501,20.7972764845635,3.75305247830583,0.000403010091813426,0.00102323579243477,-0.777817694598896
"380.21806_6.26",1.45803874897176,18.9773977252788,3.74574184943615,0.000412582846576366,0.00104576836577224,-0.800137433328082
"205.08199_1.006",-1.17414447324549,23.991860751053,-3.74501672132367,0.000413544135123189,0.00104643431488942,-0.802349839273429
"88.95324_0.803",1.0293639437014,26.164718954319,3.73627438823624,0.000425303813666775,0.00107437624430494,-0.82900255865263
"311.12413_3.155",1.14905019886391,22.9066038447584,3.70286706515039,0.000473259420943549,0.00118950102780778,-0.930498608129152
"234.1448_0.849",1.13626157187068,20.2136712755202,3.6638154214036,0.000535879324763603,0.00133791204749313,-1.04842680721675
"244.16561_0.869",1.20434026421804,24.092025334394,3.66040903046588,0.000541702042043527,0.00135019909980233,-1.05867648427775
"110.00913_0.797",1.54204032570644,24.6629725167476,3.6582214469205,0.0005454732108926,0.00135734031547693,-1.06525568138021
"377.26802_8.337",-1.17769544794959,23.1630191009682,-3.62801683605222,0.000600175710043952,0.00148605489858817,-1.15584416949893
"222.07964_1.375",-1.55097523794564,25.1897926868057,-3.61526552054433,0.000624807815345103,0.00153941136083382,-1.19394531490943
"373.23834_8.132",-1.07324163351873,20.3877862846051,-3.61452897523564,0.000626259698677969,0.00154045489100098,-1.19614353363828
"618.31472_7.578",-1.04276930868336,19.7691156195546,-3.5876065491886,0.000681593750379773,0.00166562387939462,-1.2762983160284
"204.13438_0.851",1.28539592519268,23.5792537575172,3.57824704703379,0.000701899739380092,0.00171245245861788,-1.3040744870229
"236.92095_0.81",1.4114704297537,19.7874984179063,3.56926612652303,0.00072192541586696,0.00175559135222192,-1.330683540101
"387.25466_7.953",-1.68610480856417,22.1738777276793,-3.56490132481457,0.000731853502865016,0.00177685015768524,-1.34360029807381
"242.08463_4.571",-1.30195865404351,21.0337521427229,-3.55528333705387,0.000754191378094865,0.00182516750304702,-1.37202701389484
"402.2851_7.736",1.37909506676896,19.7634365327788,3.55095030620511,0.000764465669506313,0.0018470476982588,-1.38481750061526
"244.16569_0.954",1.12149237547528,23.6494305032766,3.54363850460027,0.000782105910864367,0.00188662585261646,-1.40637812196449
