"mz_rt_min","tr1_vs_ctrl","tr2_vs_ctrl","tr2_tr1_vs_ctrl","tr2_vs_tr1","AveExpr","F","P.Value","adj.P.Val"
"505.24381_7.908",0.0210445476270038,-2.45414701576248,-2.95192617273186,-2.47519156338948,21.1298519914073,66.04544922481,8.79072859130525e-19,2.4202423035584e-17
"115.08698_0.877",-0.296361293323081,3.39055128944491,2.27219010153445,3.68691258276799,24.5392667345851,66.0439003677338,8.79536676731748e-19,2.4202423035584e-17
"253.08162_2.597",-0.390797211356197,-2.47328936179042,-2.47842173345641,-2.08249215043422,22.1194718689977,65.2454120604632,1.15586173099543e-18,3.12670393672662e-17
"164.07055_7.272",0.0294240574079405,-1.75275472005624,-1.91901990852015,-1.78217877746418,20.122125208254,64.8274296031731,1.33493429966834e-18,3.55092523711779e-17
"548.18293_1.112",-0.150191735891444,-2.3246297570975,-2.12290796805209,-2.17443802120606,21.4440800853615,62.5495690425674,2.96390805956919e-18,7.75474961159413e-17
"385.14319_8.947",0.369640959674115,-2.25271849304515,-2.66393679407387,-2.62235945271926,22.6080394204103,62.3637093293257,3.16628079302552e-18,8.15061958978827e-17
"192.12314_0.968",-0.388982238834314,2.42005391239784,2.67704959016039,2.80903615123215,21.4500037907899,61.6213400059621,4.12830572377255e-18,1.04583745002238e-16
"444.20789_0.931",0.0778561481911295,-1.85096316570527,-1.70430387467333,-1.9288193138964,21.0943780341333,61.3173858578884,4.60522316610417e-18,1.14842752704723e-16
"55.0551_1.003",0.0668023542339127,2.60459634988259,2.84711572063472,2.53779399564868,23.3545433088448,61.0552454415695,5.06221576898205e-18,1.24199210661288e-16
"444.20791_0.934",0.0764572473978929,-1.85408420501196,-1.7087165178823,-1.93054145240985,21.0934686340172,61.0151967912804,5.13605758373749e-18,1.24199210661288e-16
"327.05156_0.9",0.0442113639378054,-4.0674887668847,-4.07933079915918,-4.1117001308225,23.1685825128022,60.8123562013333,5.52753764739245e-18,1.31670896794602e-16
"224.05176_0.895",-0.0129744552925656,2.59457268327144,2.57964570613095,2.607547138564,19.9248050251372,60.3042783311115,6.6495506760448e-18,1.56068865867169e-16
"470.26637_7.253",-0.290788679479304,-2.69725122437823,-3.02033005692981,-2.40646254489893,19.7074494489213,60.2127343321148,6.8755483521878e-18,1.59034422754953e-16
"199.60537_0.983",-0.27327321417373,3.07631282915238,3.69009791887688,3.34958604332611,20.9201695372628,59.2337487079905,9.85318118287119e-18,2.24652530969463e-16
"90.97727_0.908",0.187470823225199,-3.57255470490417,-3.37082295032336,-3.76002552812937,24.2782987833215,58.7774442940669,1.16700727316341e-17,2.6233008562941e-16
"282.15485_0.939",0.0654183813065213,-1.73665041208321,-1.54313590794578,-1.80206879338973,21.2446836258232,58.4869488408597,1.30042593374257e-17,2.86331897701639e-16
"355.26323_8.501",-0.028757594486438,-1.59086788488084,-1.51166477202098,-1.56211029039441,30.3164222104174,58.4679908770851,1.3096634418684e-17,2.86331897701639e-16
"208.61061_0.983",-0.223046689647336,2.22901228775734,2.8559520656848,2.45205897740468,20.8456550077769,58.2555538491384,1.41793963002412e-17,3.0581508777277e-16
"330.17755_1.1",-0.361077730275931,-2.35915768698857,-2.84600000900248,-1.99807995671264,21.8814343911899,58.1818291440731,1.45764544005624e-17,3.10186949643969e-16
"673.29021_7.46",0.346254148638927,-2.51649560477195,-2.83810873589999,-2.86274975341088,20.3136440868707,58.0488092349844,1.53222064078186e-17,3.2176633456419e-16
"321.22146_8.24",-0.717202027726727,-3.08267901137242,-3.06964533862913,-2.36547698364569,21.1813430165447,57.1640276253966,2.13993651757527e-17,4.43550478188329e-16
"329.18205_1.183",0.232010694650676,-1.70489559011903,-1.81146861360887,-1.93690628476971,23.603274318866,56.9947118723937,2.28219777225471e-17,4.66972774938272e-16
"100.07624_0.999",0.19273582641867,3.84312610156887,3.86175698662184,3.6503902751502,26.4746897806317,56.2913289483611,2.98631768937127e-17,6.03311776232475e-16
"242.58021_0.975",-0.0407780224039468,3.79948706173832,3.13924669738271,3.84026508414227,19.4922824662652,56.1147521584843,3.19611150431409e-17,6.31413886260843e-16
"322.61836_7.325",-0.394822967521882,-2.02947696552675,-2.28609479999846,-1.63465399800487,18.9708566222216,56.1079075069866,3.2045441595945e-17,6.31413886260843e-16
"319.2425_8.492",0.0849204123578684,-2.37340047316417,-2.13758336933712,-2.45832088552204,23.0166832198822,56.0649345983198,3.25801538859901e-17,6.3412104392732e-16
"303.17044_7.948",-0.0520867719103015,-3.38315529499596,-3.72511713714148,-3.33106852308566,24.4977030456951,55.450813097705,4.13147709076804e-17,7.94438245405516e-16
"201.07189_0.872",-0.162466072499405,3.50795223138473,2.56004427087068,3.67041830388413,20.1169956350685,54.9240187247919,5.07294041939774e-17,9.6385867968557e-16
"196.09471_5.951",-0.0709787939215787,2.8067708094781,2.90328792309216,2.87774960339967,20.1224207601152,54.7082179361578,5.52029954853835e-17,1.03651742111379e-15
"340.18679_6.537",-0.193113764736547,-2.72117147412731,-2.41790198938318,-2.52805770939076,20.0370619673154,53.6537462573223,8.37222344016869e-17,1.55372890819875e-15
"303.13018_1.177",-0.0366928843480272,3.56464468654887,4.15145493484771,3.6013375708969,21.9291905293405,53.5984934335436,8.55834376556714e-17,1.57001340802818e-15
"655.2769_8.41",0.148245746510625,-2.09495474464112,-1.85519051771386,-2.24320049115174,21.4727652728159,53.4350811637595,9.13425106948236e-17,1.65662098941976e-15
"310.11324_1.35",0.349533835203111,2.59845515897442,2.62513919199705,2.24892132377131,27.132477538052,52.7413159178505,1.20629332782527e-16,2.16319567551588e-15
"210.06407_0.953",-0.423760061276655,-2.37405531810306,-2.47169228689156,-1.95029525682641,19.2588356690772,52.240236156722,1.47708353591576e-16,2.61936147035729e-15
"475.32556_7.454",-0.302972613412047,-2.54084326754134,-2.12669889663934,-2.23787065412929,21.0605506506347,52.1223137433345,1.54950126842109e-16,2.71758684000006e-15
"434.22472_1.012",-0.0989256956591216,3.02061656866836,3.96150302845696,3.11954226432748,22.6619735216409,51.9356861066947,1.6717037976068e-16,2.90004267497876e-15
"121.06509_1.182",0.0634543928592441,4.83876140697457,5.42566076852873,4.77530701411532,26.2138069647981,51.5465526427327,1.95963165824386e-16,3.33775798208647e-15
"350.67936_4.567",0.810910240218503,-2.68689151260562,-2.69039308500121,-3.49780175282413,19.6787208436626,51.5388192171795,1.96584743305845e-16,3.33775798208647e-15
"593.33342_8.441",-0.438876973642585,-3.75710401032518,-4.01989013332193,-3.3182270366826,24.3656389452985,51.399082653132,2.08174280563522e-16,3.49732791346718e-15
"309.16563_0.873",-0.0866017012196269,2.66818072732917,3.45902878146275,2.7547824285488,23.7014056832101,51.2872276030826,2.17959419987036e-16,3.62357535728447e-15
"108.04481_1.136",0.273205798084512,2.51378349043564,2.93420296821462,2.24057769235113,21.1205797691717,50.5778360656572,2.92161348482371e-16,4.80710837296767e-15
"118.08659_1.001",0.101215154194588,3.97848481732446,3.9336599928449,3.87726966312987,28.767328378789,50.4087079748279,3.1343576955569e-16,5.04517848436039e-15
"118.0866_1.002",0.101215154194588,3.97848481732446,3.9336599928449,3.87726966312987,28.767328378789,50.4087079748279,3.1343576955569e-16,5.04517848436039e-15
"347.15748_7.411",0.0430010540021034,-2.11490578269163,-2.3888475389444,-2.15790683669373,19.3566777899785,50.3882627993186,3.16113940122832e-16,5.04517848436039e-15
"196.03092_0.925",-0.0179483079011002,1.87723550579676,1.93939054856392,1.89518381369786,18.4460552060241,50.2090451813475,3.40627631906024e-16,5.38259109427736e-15
"172.00642_5.078",-0.0802047048621354,3.90199326722286,3.57642653770042,3.982197972085,20.9475367963006,49.7542740322866,4.12059859752967e-16,6.44752486436995e-15
"206.59504_0.868",0.119067228533422,2.73222254281096,3.90562526980111,2.61315531427753,20.6759420193821,49.6954645149055,4.22368514127139e-16,6.5446616363778e-15
"453.34353_7.449",-0.129806039758517,-2.0848196282629,-2.10350363303717,-1.95501358850438,19.9618837654986,49.5362164445296,4.51643375997166e-16,6.93098873164882e-15
"256.08474_2.482",0.358923439964636,-2.42327234709315,-2.27301736191082,-2.78219578705779,21.0954884486451,49.3518253291555,4.88177884319259e-16,7.42030384165273e-15
"307.18628_1.001",0.0185066108880738,3.62335098373028,5.48910233418368,3.60484437284221,20.41767441301,48.9255113117408,5.84827656050535e-16,8.8055182929873e-15
"303.17042_8.969",0.0275612650223971,-2.40445256336456,-3.13368344235152,-2.43201382838696,24.6550363178175,47.9283028755191,8.96273126536463e-16,1.33687094388056e-14
"484.24451_8.026",0.306871116685307,-2.21812138335399,-2.63267271528591,-2.5249925000393,20.8995190496563,47.5050582730044,1.0763592725656e-15,1.5906198139025e-14
"359.25913_8.268",-0.134705972251269,-2.1415847181838,-2.66331338647357,-2.00687874593253,23.4199871072977,47.3935752635134,1.12975648676597e-15,1.65421225034724e-14
"380.09544_0.917",0.0155261698291179,5.89837306087586,4.73252349179086,5.88284689104675,20.6338371714916,47.2446069203888,1.20541622549137e-15,1.74894935989475e-14
"255.06457_1.34",0.127530411510639,3.79614099159689,4.4870800653509,3.66861058008625,22.2427331216166,47.1637536839878,1.24865603528226e-15,1.79536489397342e-14
"227.00299_1.837",0.297890708216906,4.39503542810711,4.00744860392103,4.0971447198902,22.758959392988,47.0679994200478,1.30194673248542e-15,1.85527409379172e-14
"539.77358_7.232",0.915709265911495,-2.20723367644544,-2.41870681807686,-3.12294294235694,19.7761483996782,46.9665503609911,1.36097859798695e-15,1.9222317189267e-14
"595.34791_8.465",-1.10805830904058,-3.44218209643569,-4.01441345610316,-2.33412378739511,23.1122145609515,46.9283106131139,1.38394204234426e-15,1.93751885928196e-14
"203.15035_1.001",0.287017513971105,2.23089699955807,2.14491926980614,1.94387948558696,25.4194841993804,46.6717292628438,1.54875539404412e-15,2.14940313816905e-14
"394.18231_0.989",-0.427249137483126,2.83476804157179,3.50937006773151,3.26201717905491,19.8984871740637,46.6396107516253,1.5707710400635e-15,2.16116429305288e-14
"283.11655_0.956",0.378325224893576,-1.5754767275006,-1.63000671246421,-1.95380195239418,19.2494628513344,46.0009099429223,2.0827135301551e-15,2.84103486677568e-14
"214.0509_4.072",-0.362995049296896,2.38499760201754,2.50092979301622,2.74799265131444,20.8346507032542,45.4351980190648,2.68001369267745e-15,3.62483207924848e-14
