"mz_rt_min","log2FC","AveExpr","t","p","p_adj_BH","log_odds"
"464.10793_1.092",2.46106007732177,22.5299701615428,4.38773807965715,4.85441876580763e-05,0.000127257079510437,1.32621359972979
"347.18728_8.394",-1.77671906074355,21.1611696402934,-4.38674271283339,4.87113474485643e-05,0.000127515177524027,1.32290346809986
"304.11828_6.976",-1.25036388449747,17.9833769577394,-4.35888192165258,5.36239680374888e-05,0.000139980428519802,1.23040433189448
"516.81877_0.936",1.99268216534,18.7619089784234,4.34865831337437,5.55447547831892e-05,0.000144790821457302,1.19653602349714
"365.19757_7.715",-1.86453897877563,23.2653251829256,-4.34629205700869,5.59987555748514e-05,0.000145769551678715,1.18870293526711
"421.06613_1.417",1.36128613477873,20.3926146283359,4.33642344320482,5.79313638744935e-05,0.000150589091528095,1.15605791141928
"125.02327_1.605",-1.19236146008642,21.6549209987612,-4.33573803014648,5.80679705098203e-05,0.000150733081491226,1.15379199041557
"249.00748_1.893",-1.42959506274022,24.6813245651821,-4.33235141594765,5.87475461643195e-05,0.000152284142012538,1.14259878999186
"143.03389_0.874",1.82267630261325,20.4115914918652,4.32915522964874,5.93959897816086e-05,0.000153750288751277,1.13203906652263
"464.10797_1.093",2.46706563452358,22.5281461893247,4.32796947224911,5.96383198600062e-05,0.000154162564986311,1.12812251141861
"116.03402_1.232",1.32377347264519,23.6900746897249,4.32437375627294,6.03790508467118e-05,0.00015586024808275,1.11624921477657
"198.99115_1.426",-1.65093715562312,19.8005935913434,-4.28347801304063,6.94579679659752e-05,0.000179047206312292,0.981565506684372
"167.02017_1.744",1.3259467096327,24.0696418907832,4.27222041534443,7.21812548880706e-05,0.000185809166535727,0.944606467164098
"352.18808_7.09",-1.2472697702822,22.5348849910061,-4.26080321497715,7.50488221980039e-05,0.000192656450898334,0.907175119627579
"262.09306_1.215",-1.33939418778681,20.3834674176853,-4.25988840088343,7.52833102316564e-05,0.000192991469323141,0.904178156734065
"194.99625_1.527",-1.26820701372003,22.9441265441259,-4.25889215452939,7.55394793634899e-05,0.000193381067170534,0.90091480099904
"281.11221_4.125",1.7160785354051,21.144704594552,4.25136014132001,7.75037586178766e-05,0.000198136330571321,0.87625546062635
"245.11422_2.438",1.02070533905458,23.1322342825223,4.24507014902248,7.9181996138468e-05,0.000202148259742774,0.855679929156167
"317.06488_1.174",-1.58811995790018,20.7938117578346,-4.23553507682087,8.1793422400355e-05,0.000208528285680026,0.824519737260191
"74.00556_1.4",1.48497284628775,19.3554912230287,4.22890005612038,8.36596456865824e-05,0.000212701784101777,0.802858538534404
"271.00407_1.072",3.36620467520015,22.9047488119796,4.22561915822051,8.45976415400218e-05,0.000214792370312285,0.792154082145942
"94.98905_1.403",-1.58448039507978,19.0023187092672,-4.22162749046177,8.57525911769557e-05,0.000217130708355293,0.779136539679976
"267.12267_7.713",-2.45304996723322,21.2755789378887,-4.21660769229909,8.72267220893048e-05,0.000220562392639986,0.762775313313306
"158.08132_5.882",1.05899697932163,22.5626018100757,4.20972785942862,8.92870172286681e-05,0.000225464903369263,0.740368351285793
"669.28429_1.196",2.09662135262856,18.9820310788517,4.20817380103111,8.97588947087987e-05,0.000226348517091753,0.735309617428141
"278.03388_1.293",-2.51316262910091,22.9657849905276,-4.20085743001723,9.20131032437698e-05,0.000231718208440213,0.711506874717349
"391.28574_8.87",-2.14187584419504,23.838274541753,-4.19980938283019,9.23404680965128e-05,0.000232173564327235,0.708099010185521
"610.4159_8.505",-1.49652274054104,20.6277469249217,-4.19947833385645,9.24441077790013e-05,0.000232173564327235,0.707022654561406
"245.11421_1.185",-1.16014423283002,26.7506727632055,-4.19689625556774,9.32563399548253e-05,0.000233896982373183,0.69862896834577
"418.89455_0.801",2.01664650859892,23.7822285335418,4.19509872112202,9.38258577464397e-05,0.000235007816433727,0.692787260411018
"169.89854_1.447",1.70590637365904,18.4869264128515,4.18684024769192,9.64859845793891e-05,0.000241344996468121,0.665965664829183
"582.25187_1.19",2.43436724513373,19.3101252351097,4.1767355984167,9.98402203290657e-05,0.000249398989139631,0.633186575615277
"146.96011_0.802",1.02939499775587,25.1253074366871,4.17143876629006,0.000101643318597212,0.000253221475592517,0.616020822728419
"195.00742_1.421",-1.28997477905431,20.7362393856473,-4.16958750676251,0.000102280909057433,0.000254468320657636,0.6100240966198
"440.25565_5.115",2.13464243944126,19.2777243049684,4.15887031378721,0.000106048774828037,0.000263489325409421,0.575336386534373
"251.11489_0.977",1.28773317847725,21.3114082342704,4.15120905091486,0.000108824224965067,0.000270023745367866,0.550569139468604
"178.91965_1.454",2.03996573672704,19.187349174845,4.14823706189821,0.000109919699226199,0.000272377786066523,0.540967970018143
"216.08733_1.188",1.21048200143411,18.565108833588,4.13269154678095,0.00011582586538511,0.000285488454388796,0.490808101094361
"443.25995_8.494",-1.50072951782629,22.7119628192363,-4.13045972445864,0.000116698596564387,0.0002872580838508,0.483615198947843
"194.92685_1.585",-2.76109121891546,20.2855688878434,-4.11033326529094,0.000124861447938539,0.000306944168707189,0.418845733805943
"349.20227_8.597",-1.15490561696577,24.0801261305853,-4.10648912151827,0.000126482119195848,0.000310516948713616,0.406494479169372
"284.98207_1.445",-1.57434314186176,18.463348436449,-4.09661226041673,0.000130739930142711,0.00032054598460353,0.374789155017007
"196.94633_0.934",1.20923459761511,21.9011165253858,4.09011853869331,0.000133614422703052,0.000327161436064466,0.353966792798533
"141.06585_0.905",1.45343624455732,18.8946514460283,4.08632667890071,0.000135321055251894,0.000330903660800415,0.34181646978841
"428.14099_1.134",1.59210743441016,23.8075612356033,4.07837058626902,0.000138970634641052,0.000338934951240201,0.316342846819475
"124.9902_1.442",2.65831244811243,23.6141801434636,4.07628784279477,0.000139941612995038,0.000340855162360619,0.309678902555102
"429.15487_3.625",2.14219078695455,19.1245235343424,4.07477759749132,0.000140649786889924,0.000342131067454389,0.304847901267466
"198.05885_7.64",-1.32036681887378,23.3278398974738,-4.07299785596994,0.000141488774527929,0.000343721420842717,0.299156102801666
"259.13026_2.472",-1.59125637614719,19.6122738213438,-4.0666253096182,0.000144532674129557,0.000350657049914325,0.278787341598748
"405.86413_0.795",1.05272548743283,20.3550457948221,4.06002101716007,0.000147753964253217,0.000358004383360276,0.257696531039692
